"","1304__28026","33038__2173_751585","1686__457412","820__204516","39492__246787_357276","446660__100886_626940","2173__751585","39488__40520","1118060__33039_74426","197614__28111_310298","1735__28117_487174","1161942__1681_239935","1351__387090_491921","658081__818_46506","39486__907_1318","328812__817_158847","33039__74426","246787__357276","487173__853_1680","39496__100884","147207__39491_218538","28111__310298","665951__1308_410072","100886__626940","363265__310297_328813","28117__487174","384638__457394","1681__239935","818__46506","1502__821_360807","28118__823_33959","729__39485_45851","261299__665950","1343__665956","150055__39490_47770","1624__40545_328814","853__1680","39777__1598_626929","301301__626932","905__1683","469588__562_88431","658082__674529","329854__387661","626935__28116_47678","1736__28025_46503","39491__218538","310297__328813","1623__39483","338188__1118061","33043__658089","817__158847","823__33959","821__360807","1308__410072","39490__47770","1598__626929","562__88431","52226__901_216816","907__1318","39485__45851","40545__328814","28025__46503","40519__165179_166486","28116__47678","387090__491921","901__216816","165179__166486","97478__40518_46228","40518__46228"
"ERR478986",-4.94186251355952,-2.83882183044318,0,-4.51179715816783,0,0,-4.91698364396327,4.14153621867189,0,0,0,0,0,0,0,0,0,0,-2.71121115191543,0,-5.78576374040238,0,0,0,0,0,-4.90257488519103,0,0,0,0,0,0,0,0,0,4.69595546516487,0,0,0,0,0,0,0,0,1.12748054626082,0,0,0,0,0,0,0,0,0,0,0,-2.76033326501668,0,0,0,0,0,0,0,-4.78103746083138,0,0,0
"ERR478987",-4.87416796375504,-2.85142251421368,0,-4.5030865850458,0,0,-4.93880866846388,4.12104378393032,0,0,0,0,0,0,0,0,0,0,-2.70293978548641,0,-5.78821638985659,0,0,0,0,0,-4.91008984518554,0,0,0,0,0,0,0,0,0,4.68162903826179,0,0,0,0,0,0,0,0,1.14017283942982,0,0,0,0,0,0,0,0,0,0,0,-2.65815913719197,0,0,0,0,0,0,0,-4.60406668021995,0,0,0
"ERR478988",-4.90838187218434,-2.85668637752015,0,-4.50334025698096,0,0,-4.94792594715478,0,0,0,0,0,0,0,0,0,0,0,-2.70605146244812,0,-5.78721417164863,0,0,0,0,0,-4.91936199232988,0,0,0,0,0,0,0,0,0,4.6870186208562,0,0,0,-2.38706314264758,0,0,0,0,1.14695638025891,0,0,0,0,0,0,0,0,0,0,-4.13451464394065,-2.68067257799799,0,0,0,0,0,0,0,-4.64306110354916,0,0,0
"ERR478989",-4.91318329605493,-2.84860886722401,0,-4.50760915610281,0,0,-4.93393528892321,0,0,0,0,0,0,0,0,0,0,0,-2.69477916223977,0,-5.76290113799768,0,0,0,0,0,-4.9198526390542,0,0,0,0,0,0,0,0,0,4.66749442417718,0,0,0,-2.38366422635229,0,0,0,0,1.14040519789687,0,0,0,0,0,0,0,0,0,0,-4.12862754822653,-2.66174389001143,0,0,0,0,0,0,0,-4.61027565423582,0,0,0
"ERR478990",0,-2.50668972249701,0,-4.72532077026446,0,0,4.34171395817554,4.24715169202196,0,0,-2.63280109048292,0,0,-2.4699208730688,0,0,0,0,-2.8616887388031,0,0,0,-5.0515669002353,0,0,4.56014525493916,0,0,4.27802844283004,-2.86532115485535,0,0,0,0,0,0,4.95659029105468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.96288182021141,-0.119633774034504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR478991",0,-2.50815531561116,0,-4.70194745797293,0,0,4.34425243991248,0,0,0,-2.65444181563747,0,0,-2.49856460026667,0,0,0,0,-2.85064648224371,0,0,0,-5.05919458628186,0,0,4.59762809041948,0,0,4.32764083365489,-2.90408580140627,0,0,0,0,0,4.93440716115297,4.93746454166359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.03002415757505,-0.060615788436719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR478992",0,-2.50848822360949,0,-4.71748433049695,0,0,4.34482905347983,4.2600751475974,0,0,-2.65699496091722,0,0,-2.50438004707689,0,0,0,0,-2.85516603078755,0,0,0,-5.04667937083863,0,0,4.60205026776312,0,0,4.33771348299891,-2.82534021432066,0,0,0,0,0,0,4.9452926293688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.89363279987092,-0.143650071380778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR478993",0,-2.52497402344108,0,-4.71978535174384,0,0,4.37338329639156,0,0,0,-2.66317234423835,0,0,-2.51186526159398,0,0,0,0,-2.84349479453942,0,0,0,-5.04781132192942,0,0,4.61274980953313,0,0,4.35067825484807,-2.90305027752118,0,0,0,0,0,4.90448218991257,4.9250774551999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.02823057759362,-0.106223032296843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR478994",0,0,0,-4.9669943062663,0,0,0,-4.49477909923544,-2.59407990847872,-2.96988972217085,0,0,0,0,0,0,4.49307820037876,0,-2.87414197746453,0,0,5.14399989167652,-2.89090443089142,0,0,0,0,0,0,-2.78642361042802,0,-2.82096140087865,0,0,0,0,4.97815993313506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82622726467083,5.00719335412993,0,0,0,0,0,4.88604847251251,0,0,-2.85969252187673,0,0,0,-4.95313274191527,0,0
"ERR478995",0,0,0,-4.942205472825,0,0,0,0,-5.20591599730035,-2.96161569789844,0,0,0,0,0,0,0.117618947583032,0,-2.87976287367831,0,0,5.12966886125366,-2.89832108587597,0,0,0,0,0,0,-2.77858845648538,0,-2.81929166625503,0,0,0,0,4.98789561096138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.81265637995707,5.02003937738538,0,0,0,0,0,4.88315640730923,0,0,-2.86187642991466,0,0,0,-4.95691538159603,0,0
"ERR478996",0,0,0,-4.95587476200376,0,0,0,-4.5138010481159,-2.57166048574047,-2.97132050492113,0,0,0,0,0,0,4.45424662111976,0,-2.89013493464576,0,0,5.14647808009461,-2.88957592962497,0,0,0,0,0,0,-2.79499571015101,0,-2.82035746787174,0,0,0,0,5.00586054753622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.84107457691861,5.00489232243851,0,0,0,0,0,4.88500242986015,0,0,-2.86355387396393,0,0,0,-4.95982079991621,0,0
"ERR478997",0,0,0,-4.94434270893388,0,0,0,-4.46816946469191,-2.57480369384119,-2.96372780856023,0,0,0,0,0,0,4.45969081724896,0,-2.86807927608323,0,0,5.13332714423109,-2.90409398095212,0,0,0,0,0,0,-2.80027465908968,0,-2.82713237935236,0,0,0,0,4.96765902631152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.85021798469095,5.03003832496404,0,0,0,0,0,4.89673692076138,0,0,-2.85613940575216,0,0,0,-4.94697856426232,0,0
"ERR478998",0,-2.55432403101511,0,0,5.56456960515456,0,4.42421900071231,0,0,0,-2.66784215648949,0,0,-3.21175344681215,0,0,0,0,0,0,-3.1460210147527,0,0,0,0,4.62083816161392,0,0,-5.56292015126311,-2.55873986084605,0,-2.57744639715132,0,0,0,0,0,0,0,0,0,0,0,0,0,5.44906823923107,0,0,0,0,0,0,4.43186744233707,0,0,0,0,0,0,4.46426811365143,0,0,0,0,0,0,0,-2.9973832711949,5.19162011546656
