"","46506__165179","1304__1358_1363","1582__46228_665951","1318__562_1351","47770__39492_53345","147802__1260_33043","562__1351","1352__1353","39492__53345","1358__1363","357276__674529","1260__33043","1283__40214_40324","54291__158836","411489__28111_39485","820__384638","301301__457412","33038__571_37734","363265__39486_100886","329854__624_28031","582__40545_1118061","46228__665951","287__28117_204516","1286__550_573","28111__39485","817__322095","454155__546_45851","166486__154046_552398","1354__296_328813","28125__74426_360807","328814__818_47678","28126__218538_310298","626933__246787_487174","28117__204516","626929__39491_46503","291645__28116_239935","546__45851","40545__1118061","1680__853_40518","218538__310298","74426__360807","296__328813","39491__46503","291644__751585","246787__487174","28116__239935","40520__88431","550__573","116085__821_33039","571__37734","818__47678","39486__100886","853__40518","823__1078764","214856__501496","821__33039","154046__552398","43765__2173_658081","624__28031","147207__293_106648","293__106648","2173__658081","40214__40324"
"ERR2239282",-6.07175121478825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.44053929616527,0,0,-2.3393888754892,0,-2.68526241172018,0,0,0,0,0,0,0,0,0,0,0,-2.42117628951496,0,-2.39782762564945,0,0,-4.65101092875429,-2.67954924185508,0,0,0,-4.1531592754171,-4.97305865282978,-4.193600347521,0,-4.91066539036937,0,0,0,0,-4.05194039100871,4.64111542827567,0,0,0,0,0,0,0,0,0,0
"ERR2239284",3.88198453472684,0,0,-3.6112951083726,-3.28308863326008,0,6.25494660882629,0,5.68647631855831,0,0,0,0,0,0,4.01347365324525,0,0,0,0,0,0,-2.24775898512311,-3.20682607122781,0,0,0,0,0,0,3.66550136055591,-2.0936911971218,0,3.89323276540268,-2.1700221310335,0,0,0,0,-3.62637952877467,0,0,3.75858858449891,0,0,0,0,5.55438568640306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239291",0,0,0,-3.68599754884562,-2.21299062032795,0,6.38433503117495,0,3.83301219108138,0,0,0,0,0,2.44555418668449,0,0,0,0,0,0,0,-2.28876147933598,-2.94118438114218,4.46060833281117,0,0,0,0,0,0,0,0,3.96425116861643,0,-2.00101041244368,0,0,-4.91356147380972,0,0,0,0,0,0,3.46585170082682,0,-5.09428078256629,0,0,0,0,-0.159035953510444,0,0,0,0,0,0,0,0,0,0
"ERR2239293",0,0,0,-3.74624550657577,0,0,6.48868755501585,0,0,0,0,0,0,0,-2.30995484858145,0,0,0,0,0,0,0,0,0,-4.00095916093314,0,0,0,0,0,-3.30694920517641,0,0,0,-1.86584815670324,0,0,0,-2.15002552631936,0,0,0,3.23174380661875,0,0,0,0,0,-2.72520736854655,0,-1.5612138306159,0,3.72395344915514,0,-2.23126393511071,4.7201976234837,0,3.32086644176243,0,0,0,0,0
"ERR2239294",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.622478385818626,0,0,0,0,-2.81150586290026,0,0,0,0,0,0,0,0,0,5.45468211749808,2.20290798807948,0,0,-2.32313996659906,-2.17043246961691,0,-4.86967100032104,-2.87056401718574,5.90718896496278,0,0,4.02379645524344,0,0,3.75929931177368,0,0,0,0,0,0,4.97196272414472,0,0,0,0,0,0,0,0,0,0
"ERR2239303",0,0,0,0,0,0,0,0,0,0,5.58022456187238,0,0,0,0,5.33499787036804,0,0,0,0,0,0,-2.90160003661843,0,0,0,0,5.4349003473808,0,0,-5.78675429154542,0,0,-5.02571868666683,2.00397230951891,0,0,0,-2.60006044386377,0,0,0,5.15107578796222,0,0,0,0,0,0,0,-0.313731090829413,0,4.50343679152214,0,0,0,0,0,0,0,0,0,0
"ERR2239312",-2.03850479030908,0,0,-3.19238292652072,-2.57137168401235,0,5.5293694259493,0,4.45374640185333,0,0,0,0,0,-2.31244936964784,0,0,0,0,0,0,0,-2.64568093741003,0,-4.00527979816068,0,0,0,0,0,0,-2.76267271424904,0,4.58245380421063,0,-2.65286098517314,0,0,0,4.78508950576355,0,0,0,0,0,-4.5948900117371,0,0,-2.46040688912201,0,0,0,0,0,0,4.26154973925181,0,0,0,0,0,0,0
"ERR2239317",0,0,0,-3.79851439028076,0,0,6.57921991724779,0,0,0,0,0,0,0,-2.06641502097508,0,0,0,0,0,0,0,0,0,-3.57913580585235,0,0,0,0,0,0,0,0,0,-1.71279860988514,-2.94247774746194,0,0,0.979130616344086,0,0,0,2.9666542154544,0,0,-5.0965209587449,2.36631604426692,0,-1.24664145662659,0,0,0,4.5638025238094,0,0,2.15924634169892,0,0,0,0,0,0,0
"ERR2239318",-5.35505749426448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.05328794684446,0,0,4.80648383489029,0,0,0,0,0,0,0,-3.07168896386882,0,0,0,0,0,0,0,-3.05537934449587,0,-5.32032135046941,0,-3.14324031703371,0,0,0,5.29207226106334,0,0,0,-3.97333415317665,0,0,0,0,0,5.44425192950129,0,0,0,0,0,0,0,0,0,0
"ERR2239320",4.85938891317724,0,0,0,0,0,0,0,0,0,4.46430720198301,0,0,0,0,0,0,0,0,0,0,0,-3.25592155510354,0,0,0,0,0,0,0,0,0,-2.43674009217427,5.63942155889801,-2.82681612227076,-2.41627490792086,0,0,-5.72799592717666,0,0,0,4.8961891474278,0,-4.2205576444859,4.18511090557273,0,0,-2.41127293941489,0,0,0,0.735429647476565,0,0,4.17644724198254,0,0,0,0,0,0,0
"ERR2239330",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.93247588906782,0,0,0,0,0,0,-2.77294279117944,0,0,0,0,0,-2.92831806823653,0,0,-2.846087386859,0,4.80287780080464,-5.47885131600152,0,0,0,-5.38393201292971,4.92956795682073,0,-5.07199567490762,0.58513174618584,0,0,0,0,0,-3.16064982891441,0,0,0,0.134091436051946,0,0,5.47440608861363,0,0,0,0,0,0,0
"ERR2239331",-2.34799744651673,0,0,-3.4843781911125,0,0,6.03512005979178,0,0,0,0,0,0,0,0,3.08135776783763,0,-3.20402560448494,0,0,0,0,-2.16791768993284,0,0,0,0,0,0,-2.00317149635445,0,0,0,3.75494358559103,0,0,0,0,-2.30382010928844,0,-3.46959480795969,0,0,0,0,0,0,0,-2.22981535823048,5.54953513571951,0,0,3.99033348078646,0,0,3.86215349195258,0,0,0,0,0,0,0
"ERR2239339",-6.49787230478914,4.21969161376701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.32709623551871,0,-2.29638174090916,0,-2.89127570359989,0,0,0,-2.51703273720225,0,0,0,5.00783641732446,0,-3.97744984882813,0,0,0,-2.52266036730357,0,-4.03064891402068,0,4.35962858514846,0,0,4.36937592641015,0,0,0,0,0,0,0
"ERR2239340",-4.33504497950196,0,0,-3.17437580365617,-2.78208776798743,0,5.49818017424978,0,4.81871736527012,0,0,0,0,0,0,4.62936661730946,0,0,0,0,0,0,0,0,0,0,0,-2.626965658848,0,0,-3.48049007095882,0,0,0,0,0,0,0,-2.67336564018882,0,0,0,0,0,0,0,0,0,-4.906961798383,0,-6.02838563813969,0,4.63040511601594,0,0,-0.0494053414627044,4.55003799086339,0,0,0,0,0,0
"ERR2239352",0,0,0,-3.50907938173478,0,0,6.07790377695703,0,0,0,0,0,0,0,0,0,0,2.99940337685974,0,0,0,0,0,-2.68617012122338,0,0,-3.00961985139603,0,0,0,0,0,0,0,0,0,5.21281449408581,0,0,0,0,0,0,0,0,0,0,-4.65258312773235,0,4.44145584717094,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239358",0,0,0,-3.45580385710426,0,0,5.98562786149708,0,0,0,5.38341800646784,0,0,0,0,0,0,0,0,0,-2.35259326059887,0,-5.76999459962336,0,0,0,-2.3371627579958,0,0,0,0,0,-2.62703116634935,0.583996627593367,0,0,-4.04808464240653,-4.07481105690136,-3.09129489746572,0,0,0,0,0,-4.550151453184,0,0,0,-2.49738546975037,0,0,0,5.35427982358905,0,0,4.32559851969191,0,0,0,0,0,0,0
"ERR2239373",0,0,0,0,0,0,0,0,0,0,5.82421169026025,0,0,0,0,5.28099548014051,0,0,0,0,0,0,-5.38296365156934,0,0,0,0,0,0,0,0,0,-3.29348327235716,-0.471870703115771,-2.46288802466008,-2.75478886674493,0,0,-5.30677668394066,0,0,0,-4.26584719206422,0,5.7044803616008,-4.77143428132731,0,0,0,0,0,0,-1.06932968531799,0,0,0,0,0,0,0,0,0,0
"ERR2239383",0,0,0,0,0,0,0,0,0,0,5.3897635108948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16458312218082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.59649869307396,0,0,0,0,0,0,-6.22931846575916,0,0,0,0,0,0,0
"ERR2239385",0,0,0,-3.86964085170412,0,0,6.70241456219564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.3177891161789,0,0,0,0,0,0,0,4.01452851045202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239388",0,0,0,-3.86946846164349,0,0,6.70211597385192,0,0,0,0,0,0,0,0,0,0,0,0,4.38978540727647,0,0,-1.54150288605884,0,0,0,0,0,0,0,0,0,0,2.66996131866797,0,0,0,0,3.14642287901074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239390",0,0,0,-3.15156811086122,0,0,5.45867609152551,0,0,0,0,0,0,0,0,4.26570351954834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.37795505444418,0,0,0,0,0,0,0,0,0,0,0,4.11873897241254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239395",0,0,0,-3.85334394637971,0,0,6.67418749416762,0,0,0,0,0,0,0,0,0,0,0.765483397617818,0,0,0,0,0,-2.37696734629891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.11702821172187,0,0,0,0,0,0,0,0,0,0,0,1.41215745314602,0,0,0
