"","40520__387090_491921","820__33039","39486__216816_751585","46228__649724_665951","46503__357276","626932__853_310297","658081__239935_291644","52226__187326_387661","28116__29361","850__158847","853__310297","216816__751585","1099853__818_823","457412__821_28026","1735__88431","39778__562_729","821__28026","1363__39491_410072","218538__39485_39492","818__823","562__729","1304__40518_338188","239935__291644","39491__410072","100886__47678_363265","665956__165179_360807","487174__74426_204516","1308__40519","39485__39492","573__46506_437897","40518__338188","47678__363265","2173__28111_626940","28118__907_487173","103892__40545_310298","165179__360807","387090__491921","187327__469592_626929","649724__665951","187326__387661","74426__204516","907__487173","469592__626929","39496__328814","28117__329854","28111__626940","46506__437897","40545__310298"
"SRR5818492",0,0,0,-1.66771361906473,0,0,0,4.99596805804392,0,0,0,0,0,0,0,0,0,-1.91490331021808,0,0,0,0,0,3.31670982487954,-2.40908780430651,-5.55747389350195,0,0,0,0,0,-4.17266247695342,-3.00209625426227,0,-2.04257936281389,3.39213128418324,0,3.75981410714631,-2.88856472069467,0,0,0,0,0,0,-5.19978324159446,0,3.53785123488533
"SRR5818493",0,0.225477408491951,0,6.53350566241448,0,-2.9893261907953,0,0,0,0,5.1776648428538,0,0,-2.87571997822613,0,-3.36906612396972,4.98089311062852,0,0,0,-5.83539370077469,0,0,0,0,-5.15573628865202,-2.48707905266219,0,0,0,0,0,0,0,0,-0.722425713141069,0,0,0,0,4.30774728165119,0,0,0,0,0,0,0
"SRR5818494",0,0,0,0,0,0,0,0,1.59684414481163,0,0,0,0,-2.47197437583681,0,0,-4.28158521395772,0,-2.76912842636106,0,0,-2.91346088490675,0,0,0,0,0,0,4.79627112714062,0,5.04626227852307,0,0,0,2.28665524178396,0,0,0,0,0,0,0,0,0,0,0,0,5.29086706685607
"SRR5818495",0,0,-5.53252416213804,0,0,0,0,0,0,0,0,-0.771849809318739,0,-2.94775080409512,4.46029580285698,0,-5.10565416074475,0,-5.81147052128005,0,0,-2.61791429339555,0,0,0,-3.22858846045648,0,0,-0.811574868094338,0,4.53436056602186,0,-2.90537319858201,0,0,5.5920792502412,0,0,0,0,0,0,0,0,0,-5.03225399489295,0,0
"SRR5818496",0,0,0,0,0,-2.45863881385406,0,5.10117126343537,0,0,4.25848734305612,0,0,0,0,0,0,-3.16220099517608,0,0,0,-2.53062836128422,0,5.47709278738983,-2.9263762523729,-6.13134378644729,-2.58673013364149,0,0,0,4.38317689681904,-5.06863235117286,-2.58539428920567,0,0,1.66583884928331,0,0,0,0,-4.4803480169365,0,0,0,0,-4.47803426650264,0,0
"SRR5818497",0,0,0,0,0,-2.71435457207375,0,0,0,0,4.70140002858861,0,0,0,0.954010121137078,0,0,-2.70343242554911,-4.89356191016245,0,0,0,0,-4.68248231588022,0,-3.63059236214013,0,0,0.64977371938408,0,0,0,-3.01141487289958,0,0,6.28837043279822,0,0,0,0,0,0,0,0,0,-5.21592356253065,0,0
"SRR5818498",-3.63671568597041,0,0,0,0,-3.90519657992193,0,0,0,-4.99848613850255,-0.155670507878753,0,0,0,0,0,0,-2.90157670340001,0,0,0,0,0,5.02567827234702,0,-3.74953437923567,-1.55167767737748,0,0,0,0,0,0,0,-1.72264205383243,6.49438404956242,-0.380256974660598,0,0,0,2.68758457418827,0,0,0,0,0,0,-2.98370356049257
"SRR5818499",0,0,0,0,4.79829675347358,-2.48584762787579,0,0,0,0,4.30561439135545,0,0,-3.39321432087749,0,-2.46394278825331,5.87721960473014,-2.83562255175914,-2.51433367564617,0,4.26767409619766,-3.02526036403605,0,4.91144233073494,0,0,5.50221094287769,0,4.35495367340057,0,5.23990465663475,0,-2.55398636905741,0,0,0,0,0,0,0,0,0,0,0,0,-4.4236341530458,0,0
"SRR5818500",0,0,0,0,4.33647210993422,-2.62266400523302,0,0,0,0,4.54258730824568,0,0,-3.2018159567426,0,0,5.54570791356294,-3.35745021622561,0,0,0,0,0,5.81527435838586,0,-5.70300155207441,0,0,0,0,0,0,-3.00127912544213,0,-5.66425804542041,-0.0811252838299372,0,0,0,0,0,0,0,0,0,-5.19836793296165,0,0.277904696370963
"SRR5818501",0,0,0,0,0,-2.0144703795754,0,0,0,0,3.48916504776715,0,0,0,0,0,0,-2.10821124731904,0,0,0,0,0,3.65152899344474,-2.38846858623486,-5.70270903033498,-1.88728495423075,-3.47691308648119,0,0,0,-4.13694894364099,-2.87876818397525,0,-2.51359190372132,3.44131076635859,0,0,0,0,3.26887342908797,0,0,0,0,-4.98617275785793,0,4.35366888673911
"SRR5818502",0,0,0,0,0,-2.49932827335242,0,4.3090093623252,0,0,4.32896355423979,0,0,0,0.181864976698927,0,0,0,0,0,0,0,0,0,0,-6.13011345365399,-2.3069129284973,0,0,0,0,0,-2.34656318365493,0,0,2.30494980227998,0,0,0,0,3.99569040079483,0,0,0,0,-4.06436665726092,0,0
"SRR5818503",0,0,0,0,0,-6.33139401657876,0,0,0,0,-0.391805878834571,0,0,-2.45903136909552,0,0,4.25916726867909,-2.71413807287857,-2.67259374844866,0,0,0,0,4.70102504098277,-3.14486980632633,0,0,0,-4.62906816030404,0,0,-5.44707428774649,-5.31149708867282,0,-2.75034476104314,0,0,0,0,0,0,0,0,0,0,-0.77975178610325,0,-4.7637368644576
"SRR5818504",0,4.89379062155849,0,0,-5.23396363079089,0,0,0,0,0,0,0,0,0,0,-2.94212244104812,0,-2.99679414876007,3.34763148364754,0,-5.09590554998391,2.34742621980184,0,5.19059972547756,0,0,0,0,-4.53215456498101,0,4.8431316215455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5818505",0,-0.144890473420135,0,0,-1.46022190809616,0,0,0,0,-5.0744198229393,0,0,-1.89873510247157,0,0,-2.06778007672972,0,0,0,3.28870566759526,3.58150015177454,0,0,0,0,-3.55600392605139,0,0,0,0,0,0,0,0,0,6.1591794718354,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5818506",0,5.20031238287781,0,0,0,-2.72511338345129,2.44105876813964,0,0,0,4.72003483652356,0,-2.69543840524647,-3.08583620023286,0,0,5.3448250826386,0,0,-4.66863626655931,0,0,-4.92726569192615,0,0,-2.77337330541529,0,0,0,0,0,0,-2.9162552344293,0,0,-4.80362347333452,0,0,0,0,0,0,0,0,0,-5.05110223387023,0,0
"SRR5818507",0,4.53186803099053,0,0,0,0,0,0,4.9497923350532,0,0,0,0,-0.253848456318888,-4.50076685716064,0,0.611986969374853,-3.23726505408702,0,0,0,0,0,5.60710755124592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5818508",0,0,-2.7051546199613,0,0,-3.02266089737323,0,0,0,-4.71104857827156,5.23540224830218,4.68546524410265,0,-2.32183531961863,0,0,-4.02153674038739,0,0,0,0,-2.47125179925226,0,0,-3.49265348106134,-2.57774573906429,0,0,0,-2.3479929374799,4.28033367460092,-6.04945328243054,0,0,0,-4.46478658905353,0,0,0,0,0,0,0,0,0,0,-4.06684306352809,0
"SRR5818509",0,0,-2.75640433410916,0,0,-2.57997397296278,0,0,0,0,4.46864600337687,-4.77423235288012,0,0,0,0,0,-2.83435337879229,-2.63171497036869,0,0,0,0,4.90924405867276,0,-5.91021177651677,0,0,4.5582640397182,0,0,0,0,0,0,0.957127844101902,0,0,0,0,0,0,0,0,4.59217843923332,0,0,0
"SRR5818510",0,0,0,0,-0.737898188186187,0,0,0,0,0,0,0,-4.55242721251524,-2.22399881965103,4.42460832917821,0,3.85207895160879,0,0,-0.469257394859647,0,0,0,0,0,-6.33858151845981,0,0,0,0,0,0,0,0,-2.61884378594945,1.98705739081356,0,0,0,0,0,0,0,0,0,0,0,4.53597049435049
"SRR5818511",0,0,0,0,-4.85859755555646,-2.35838916883552,0,0,-0.238740332782092,0,4.08484986444325,0,0,-3.43672002058577,0,-5.07671957649037,5.95257368704371,0,0,0,0.431161695674984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5818512",0,0.223113358715219,0,0,0,0,0,0,4.82777260238934,0,0,0,-5.54277221557703,-3.56259773077342,0,0,6.17060027662916,-3.06597992884517,0,-0.396720285964564,0,0,0,5.31043301174625,0,0,0,0,0,0,0,0,0,0,-3.00456985001436,0,0,0,0,0,0,0,0,0,0,0,0,5.20406763511448
"SRR5818513",0,0,0,0,0,-2.18914847754779,0,0,0,3.75892768771382,3.79171638842482,0,0,0,4.02662748163011,0,0,0,-2.40234667710819,0,0,0,0,0,-3.17216282286931,-5.95611405426568,0,0,4.16098650214564,0,0,-5.49434717909077,-2.82523664916737,0,-2.34552020861044,2.35404594218168,0,0,0,0,0,0,0,0,0,-4.89345341976352,0,4.06256017149284
"SRR5818514",0,0,0,0,0,-2.32022959815962,-2.21253141090526,0,0,0,4.01875554923757,0,0,-2.01053846734063,0,0,3.48235477600564,0,0,0,0,0,3.83221681702997,0,-1.97224961081007,-6.40344882321617,4.0740324233189,0,0,0,0,3.41603653113099,0,4.06142474897866,0,2.07824891060529,0,0,0,0,0,0,0,0,4.61391680271624,0,0,0
"SRR5818515",0,3.84646817667929,0,0,0,-5.23050550690844,0,0,0,0,0.227693471126641,0,-2.28922416860749,0,0,0,0,0,0,-3.96505256994279,0,0,0,0,-3.23730799963507,-3.65069794471656,0,0,0,-2.30380625742354,0,-5.60718193511711,-2.51944146529354,0,-2.21464276008115,6.32319432333636,0,0,0,0,0,0,0,0,0,-4.3638006245842,3.99030948865268,3.83587378107512
"SRR5818516",0,0,0,0,0,-2.23172525143545,0,4.44736452210124,0,0,3.86546152402062,0,0,0,0,2.02069680021702,0,0,0,0,-5.31358271308408,0,0,0,1.70903470169689,-3.63053370701579,0,0,0,0,0,-4.57540517764886,0,0,-2.29059577552985,6.28826883914273,0,0,0,0,0,0,0,0,0,0,0,3.96742826282033
"SRR5818517",0,0,0,0,0,-4.18323239003071,0,0,0,-1.22792070383642,0.349294735956271,0,0,0,0,-2.94482372860224,0,0,0,0,5.10058431727349,0,0,0,-2.1982051415506,-3.72718500815833,0,0,0,-2.17813795515346,0,-3.80740299062478,-3.06696908927368,0,0,6.45567380333924,0,0,0,0,0,0,0,0,0,-5.31214628786526,-3.77264560421997,0
"SRR5818518",0,0,0,0,0,-2.67866037925009,0,0,0,0,4.63957587308287,0,0,0,0,0,0,-2.70083585536551,0,0,0,0,0,4.67798492439682,-2.62599947017301,-6.11108429003447,0,-4.03763417530013,0,-2.42441272233775,0,-4.5483645029886,0,0,-2.14940026075841,2.39601926201623,0,0,0,0,0,0,0,0,0,0,-4.19920601360537,3.72287045743536
"SRR5818519",0,0,0,0,0,0,0,3.43966834901845,0,-0.0937834741987161,0,0,-1.4863382881271,0,0,0,0,0,0,2.57441343227108,0,0,0,0,-2.3641473501968,-3.84368213735649,0,0,0,-2.32547536679233,0,-4.09482332712019,-1.61001317748465,0,-1.77403999594046,6.65745275004638,0,0,0,0,0,0,0,0,0,-2.78862462425882,-4.02784148703419,3.07272740762816
"SRR5818520",0,0,0,0,4.31919518727723,-2.65521082493148,0,0,0,0,4.5989600535882,0,0,-3.58465856986934,0,0,6.20881077080089,0,-2.37247538032643,0,0,0,0,0,-2.24133505468948,4.27308098052606,0,0,-4.10924789843168,-3.31048715916496,0,3.88210619150735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.73393195747807,0
"SRR5818521",0,0,0,0,0,-2.24931549066816,0,0,0,0,3.89592871208898,0,0,0,0,0,0,0,-1.88795078767951,0,0,0,0,0,0,-3.85010582754413,-2.10346454074321,-3.00025582702176,3.2700266864506,-4.05662766171804,0,0,0,0,-1.8078650466619,6.66857890782345,0,0,0,0,3.64330745648678,0,0,0,3.5810879367393,0,-0.374408946563324,3.1313141140463
"SRR5818522",0,4.83582426841216,0,0,4.99439210880575,0,-5.46815499486381,0,0,4.66078675041922,0,0,-2.81637585234345,-3.0161860134436,0,0,5.22418742036294,0,0,-4.87810606946896,0,0,-0.167499642919409,0,0,-2.64357094288731,0,0,0,0,0,0,0,0,-2.86196054369441,4.57879918649358,0,0,0,0,0,0,0,0,0,0,0,4.95706107093616
"SRR5818523",0,0,-2.37793943818853,0,0,-3.20647366143079,0,4.49499297548752,0,0,5.55377529472953,-4.11871192426433,0,0,0,0,0,-3.20876577019098,-2.28030535863706,0,0,0,0,5.55774534355866,-2.43460736241054,-3.36140349939467,-2.21432162951042,0,3.94960473793096,0,0,-4.21686364817631,-2.85509923929868,0,0,5.82212164569139,0,0,0,0,3.83531756661075,0,0,0,0,-4.94517694311657,0,0
"SRR5818524",0,0,0,0,0,0,0,0,0,4.16862622301035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.99612549734739,-3.59457646022545,-4.75850876120422,0,0,-2.44786018983038,0,-5.18944158725825,-2.83251103662509,0,-2.46610980700811,6.22598906080157,0,0,0,0,0.0598095224694084,0,0,0,0,-4.90605302843424,-4.23981821861141,4.27142748278193
"SRR5818525",0,0,-2.46179743839927,0,0,-2.95972143466841,0,0,0,0,5.12638790109633,-4.26395824125045,0,0,0,-2.64162696902467,0,-2.49553815916078,-4.72736269373784,0,4.57543212499491,0,0,4.32239888389338,0,-6.35789894968357,0,0,0.19033405250874,0,0,0,-3.04100171982965,0,0,1.35053341084021,0,0,0,0,0,0,0,0,0,-5.2671694846493,0,0
"SRR5818526",0,5.12167433976532,0,0,-4.3227673311084,0,0,0,0,0,0,0,0,0,4.45119362237399,0,0,0,0,0,0,0,0,0,0,0,-2.6894379348732,0,0,-3.13818258993258,0,0,0,0,-2.6563735543265,0,0,0,0,0,-4.65824314700349,0,0,0.117589102877437,5.03033327530276,0,5.43549168919132,-4.60097395997582
"SRR5818527",0,0,0,0,3.80719337990637,-2.19480588552143,0,0,0,0,3.80151530647431,0,0,0,4.61038792508697,0,0,-2.41900869192131,-5.64533395362658,0,0,0,0,-4.18984595835844,0,-3.33530373200768,0,0,-2.2958022788921,0,0,0,1.98152495786752,0,0,5.77691552251139,0,0,0,0,0,0,0,0,0,-5.45424982544016,0,0
"SRR5818528",0,0,0,0,0,-2.34029143189862,0,0,3.64961667231245,0,4.05350366456652,0,0,0,0,0,0,-2.02913743454694,0,0,0,0,0,3.51456913217526,-2.57544238923041,-3.71559434433327,-2.07030612664528,-3.91252038991162,0,0,0,-4.46079707011365,0,0,-2.5627852412652,6.43559818470079,0,0,0,0,3.58587539857074,0,0,0,0,0,0,4.43887424675899
"SRR5818529",0,0,0,0,-3.50152372063565,0,0,0,0,3.14480281716844,0,0,0,-2.54743320438804,0,0,4.41228373888807,0,0,0,0,0,0,0,0,-3.8379750098525,0,0,0,-4.22439653140296,0,0,0,0,-4.67231436935365,6.64756771524419,0,0,0,0,0,0,0,0,0,0,-0.68273082445636,-1.29674121095526
"SRR5818530",0,0,0,0,4.60593054422886,3.02922207435539,0,0,0,0,4.10071091206743,0,-2.63490346111392,-2.74070287240939,4.44282652046062,0,4.74703662346303,-2.49188515937261,0,-4.5637866676884,0,0,0,-4.31607170266023,0,-3.50241752502781,0,0,0,0,0,0,-2.90197464733979,0,0,6.06636510266781,0,0,0,0,0,0,0,0,0,-5.0263675314693,0,0
"SRR5818531",0,0,0,0,0,-3.78073838269198,0,0,0,0,0.0535186713761598,0,-1.72205057705514,-5.14942401566682,0,-3.06713714561556,3.16384308690941,0,0,-2.98267909266281,5.31243736998794,0,0,0,0,0,0,0,0,-2.61302420201528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.5258906792976,0
