"","1078764__28111_411489","40214__40324","322095__817_328813","562__53345","28111__411489","39492__1118061","291645__1283_166486","626930__28117_357276","817__328813","1286__33039_338188","376804__310298_387090","54291__158836","28126__40518_384638","626933__218538_487174","1283__166486","454155__296_550","1623__33043_363265","329__39496_147207","1363__287_1351","47770__46228_310297","582__820_239935","457412__291644_751585","28117__357276","1354__573_40545","552398__626932_626940","1582__1680_216816","818__301301","74426__571_37734","43765__823_1735","674529__39491_46506","40519__853_39485","33039__338188","218538__487174","39486__100886_165179","40518__384638","501496__28116_204516","46228__310297","820__239935","287__1351","33043__363265","573__40545","310298__387090","296__550","626932__626940","28125__45851_360807","39491__46506","291644__751585","100886__165179","853__39485","1680__216816","28116__204516","823__1735","329854__626929","665951__46503_88431","729__40520","45851__360807","571__37734","1282__29382","46503__88431","29361__39488","624__2173_658081","1352__1353","1689__33038","39496__147207","2173__658081","28130__116085"
"ERR2239781",0,0,0,0,0,0,0,-5.67877087797534,0,0,0,0,-2.9585538497735,0,0,0,0,0,0,0,-4.94540994224423,0,-1.16196708345324,0,0,0,0,0,0,0,-3.15465080166825,0,0,-2.32735300049014,-5.1243655847362,0,0,-0.0935696272860833,0,0,0,0,0,0,-3.50955121025813,0,0,-4.03109364399679,5.46401546862729,0,0,0,0,0,0,6.07872100793192,0,0,0,0,0,0,0,0,0,0
"ERR2239782",0,0,0,0,0,0,0,-4.94862496668353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.652158232818159,0,0,0,0,0,0,-2.81807777915089,-5.54754631112897,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.47312187073337,4.88105389317021,0,0,0.349850182168294,0,0,0,0,0,0,6.01562354098887,0,0,0,0,0,0,0,0,0,0
"ERR2239784",0,0,-4.44112449355996,0,0,0,-2.52171507023816,0,-0.354768165606343,-3.11264914144884,0,0,-2.56846766739861,0,-4.36773862386462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.26841951455035,-2.9484021510258,-5.39126645912504,0,0,4.44871649753231,0,0,0,0,0,0,0,0,0,-3.05183897554949,5.66106865965082,0,0,5.10678232672206,0,0,0,0,0,0,-5.28594016217067,0,0,0,0,0,0,0,0,0,0
"ERR2239787",0,0,-6.0774878783386,3.99098901098303,0,0,0,0,-0.623868833366898,0,0,0,0,0,0,0,0,0,0,0,-3.30813903503908,0,0,0,0,0,0,0,0,-2.57293989751389,-2.77263940075133,0,0,0,0,-1.80486847276635,0,5.72986488718957,0,0,0,0,0,0,-2.15475744305498,4.45646262731512,0,0,4.80235231316862,0,3.12612389581056,0,0,0,0,-3.73214936935843,0,0,0,0,0,0,0,0,0,0
"ERR2239790",0,0,0,0,0,0,0,-2.56675071237966,0,0,0,0,-2.81143968726401,0,0,0,0,0,0,0,-2.64470988401237,0,4.44574264420518,0,0,0,0,0,0,-2.63368660535537,-2.87232998223799,0,0,0,4.86955638075681,0,0,4.58077189038901,0,0,0,0,0,0,0,4.5616790116891,0,0,4.97502146533962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143436754219295
"ERR2239796",0,0,0,0,0,0,0,-2.81274937012181,0,-2.82091548175522,0,0,0,-3.31910054924065,0,0,0,0,0,0,-3.18945637101871,0,4.87182481800833,0,0,0,-4.96463864982942,0,0,-2.52984418646492,-5.5276670048356,4.88596893825769,5.74885078671458,0,0,0,0,5.52430048312866,0,0,0,0,0,0,0,4.38181866619,0,0,0.515063141776713,0,0,0,0,-2.47748134311094,0,0,0,0,4.29112356107214,0,0,0,0,0,0,0
"ERR2239799",0,0,-2.43621991235523,6.08999811674419,0,0,0,-2.50579212062801,-4.21965666661025,0,0,0,0,-2.78964274937186,0,0,0,0,0,0,-2.372106064009,0,4.34015926613347,0,0,0,0,0,0,0,-5.73867236478675,0,-4.83180297687819,-2.45890720875432,0,0,0,4.10860822380581,0,0,0,0,0,0,0,0,0,-4.25895221665985,0.496001647135039,0,0,0,0,-2.32866525222502,0,0,0,0,4.03336653067392,0,0,0,0,0,0,0
"ERR2239801",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.87982989822929,0,0,0,0,0,0,0,0,0,-3.60144173267018,-5.17091101778045,0,0,0,0,0,4.98801170088903,0,0,0,0,0,0,0,0,6.23788006148363,0,0,-0.0458244913686655,0,0,0,0,-2.46878276834722,0.655423394711667,0,0,0,-4.27605718762793,0,0,0,0,0,0,0
"ERR2239803",0,0,0,0,0,0,-2.31022697686245,0,0,0,0,0,0,-3.01260575054152,-4.00143050094201,0,0,0,0,0,-5.68952980625809,0,0,0,0,0,-3.95868613772636,0,0,-5.09789353091125,-3.23781065245868,0,5.21798622311208,0,0,0,0,1.0231448504949,0,0,0,0,0,0,0,-0.834310921052112,0,0,5.60805255534616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239804",0,0,0,0,0,0,-2.64181422605874,0,0,0,0,0,-2.59957085019211,0,-4.57575646369199,0,0,0,0,0,-3.48186236452711,0,0,0,0,0,0,0,0,-3.16458543113294,-2.75584701422995,0,0,0,4.50258879040776,-2.6413513440311,0,6.03076252032287,0,0,0,0,0,0,-2.81565533172346,-5.48122275161451,0,0,4.77326704653326,0,4.57495472850221,0,0,0,0,-4.87685809114724,0,0,0,0,0,0,0,0,0,0
