"","820__310298_357276","310298__357276","387090__1559_1624","154046__28123_36847","33010__197614_309120","36834__573_187327","1307__823_180164","1267__28446_39493","28137__1134563","1282__29385","423605__1161942","28446__39493","29363__729_29360","329854__102684_572010","28127__33031","1613__39778","281920__386414","755171__54005_337315","901__165179","329__818_74426","1285__1313","53446__155617","33034__33037_54007","823__180164","33037__54007","852__28128","33039__166486_218538","28123__36847","1492__29367","907__1680_290112","328812__31971_397865","40519__1304_28037","103891__246787","818__74426","1502__859_358742","573__187327","1522__1547","47770__28116_487175","54005__337315","33029__33032","208479__180311_454154","633701__28117_261299","102684__572010","1322__28447_626937","103892__310300","88431__437898","328813__46503_1755626","310297__1308_371601","1352__54006","214856__1343_40520","1755607__817_821","197614__309120","1559__1624","166486__218538","46228__853_301302","28116__487175","358743__33038_47678","163665__29466_69825","28117__261299","1304__28037","33035__40518_204516","817__821","46503__1755626","29466__69825","33038__47678","1308__371601","39791__1532_28136","859__358742","84026__84030","234908__39777_1465754","31971__397865","1686__1685_1694","180311__454154","190721__351091","97253__39486_39490","28114__387661","40518__204516","1680__290112","1685__1694","1532__28136","39777__1465754","729__29360","287__28026","1303__410072","851__1297750","39486__39490","1343__40520","28447__626937","853__301302","39491__89014"
"SRR1023445",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.52406085033138,0,0.66783640038448,0,0,0,0,-1.9882283625254,0,0,0,0,0,1.37900605704824,0,0,0,0,3.44371254094347,0,0,4.71242152450626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.51348389196141
"SRR1023449",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.71167034118727,0,0,0,0,0,0,0,-2.0713302462423,0,0,0,0,0,0,0,0,0,0,-1.77764000327889,0,0,0,-2.10966544335551,0,0,0,0,0,0,0,-2.26479291011651,0,0,0,-3.58764922574583,-3.37245144100778,3.07896280324593,0,0,3.65404773486406,0,-2.23474039971449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87068391403228,0,0,0,0,0,0,-3.20284987908134,0,0,-3.92273638894356,0,5.84125724188435,-3.53834262063057
"SRR1023458",4.63452948330737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.51607610456212,0,0,0,0,0,0,0,0,0,4.45538808014785,0,0,0,4.35797164881157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.156283803045457,0,0,0,0,-4.71736348113402,0,0,0,0,0,0,0,0,0,0,0,0,0,3.96828749943094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.585694181973753,0,0.656136286106035,0
"SRR1023481",-0.248754922893891,-0.234325133517318,0,-2.18939361628568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.16564690893938,0,0,0,0,0,0,0,0,3.79214098117376,0,0,0,4.27738635769526,0,0,0,0,0,0,0,0,0,-2.13530626220614,0,0,0,0,0,0,0,0,0,0,0,0,-2.52800024376191,0,0,0,3.69845893586103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.37862486374213,0
"SRR1023491",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.213541174889649,0,0,-2.57805253095813,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.79187842573644,0,0,0,0,0,0,4.46531796820102,-4.01934486739439,0,0,0,0,0,0,0,-2.17989665249392,0,-2.22394354055188,0,0,0,0,0,0,0,0,0,-0.505042944698448,0,0,0,0,0,3.77569175736879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85198320540048,0,0,0
"SRR1023500",0,0,0,2.98517364865654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.63965359885449,3.31623235994104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52625470794873,0,0,0,0,0,-1.7588965199682,0,0,0,0,-1.62407606281808,0,-3.20275845244328,0,0,0,0,0,0,0,5.54734036400244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.04649813784102,0,2.81298225615734,-3.04649813784102
"SRR1023514",3.34998024591193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.51906575385686,0,0,0,0,0,0,0,0,0,0,0,0,-0.475294733906214,0,0,0,0,0,0,0,2.631099065718,0,0,0,0,2.28516440890571,0,0,0,0,0,0,0,0,0,0,0,0,-5.93507323277851,0,0,0,0,0,0,0,-0.641777992772763,0,0,0,0,0,1.23997167532601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77895058581036,0,0
"SRR1023527",4.84792848629185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.380424175566,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97584192396661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.29545340505752,0,0,0,-2.54736873955131,0,0,0,3.97584192396661,0,0,0,0,0,0,0,0,0.777421964710684,0,0,-4.41217208251556,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR1023538",-2.11336669663706,-3.66045849359938,0,0,0,0,1.98538298806554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.50835084474098,0,0,0,0,0,0,0,-2.3323111736321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.82899948418418,0,0,0,0,0,0,0,0,0,4.0396814517914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.668611135035254,0,0,0
"SRR1023542",2.27726583407035,-4.81375911831814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.38174214208495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.12529840061907,0,0,0,0,0,0.250449364848245,0,0,0,0,0,0,-0.212739400819085,0,0,0,0.443014117708994,0,0,0,0,0,0,0
