"","28116__1623_218538","33043__69825","40519__1624_84031","1680__166486_301301","28117__46503_74426","216816__341225","1623__218538","39485__1559_1681","33987__239935_626937","1559__1681","46503__74426","166486__301301","328813__817_204516","179995__33038_52226","261299__574375","823__40518_349096","208479__328812","1264__190721","239935__626937","1352__329854","1624__84031","1328__28135","573__907","36835__180282","729__88431","46228__46506_84026","536633__39491_40520","39484__820_821","29348__187327","817__204516","47678__84030","40518__349096","33038__52226","1755626__351091_357276","46506__84026","387090__1366_310297","39491__40520","371601__1365_310298","351091__357276","820__821","28111__39488_165179","1366__310297","1365__310298","39488__165179"
"SRR7423271",0,0,0,0,5.00737681898493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.71451536848258,-2.49182534766499,-5.23239791840549,-4.54602895481495,0,0,0,0,3.53111036131223,-4.70167853613838,0,-4.31596810574375,0,4.46395788410538,-0.567541722143125,-2.41658990165686,0,0,-4.18565649072757
"SRR7423272",0,0,0,-4.78150147561528,0,0,0,4.8198901421147,0,0,0,-0.299881074373481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.50006116724343,0,0,0,0,0,5.91576598993423,0,0,0,-4.98192482645826,0,-4.33023296369558,-5.78989111422673,0,-0.684665030116363,-1.7609255206337
"SRR7423273",0,-4.10559570884724,0,1.80408963375016,0,0,0,4.79003993193381,0,0,0,-5.3985784298667,0,0,0,0,0,0,0,0,0,0,0,4.17775042129486,0,0,-2.34890867822629,-2.57046247377168,0,0,0,0,0,5.94907865367546,0,0,-4.06842917302739,0,0,-4.45217160352174,-2.42549444338391,0,0,4.20107960941693
"SRR7423274",0,0,0,0,0,0,0,4.95134773329485,0,0,0,0,0,0,0,-2.28216770002474,0,0,0,0,0,0,0,0,0,-2.27535877260487,-2.29370443903667,-5.39159466854323,0,0,0,-3.95283040783545,0,6.30183338947844,3.9410369995992,0,-3.97281262595779,0,0,0.166331310119501,-2.29892195050354,0,0,3.98184962090748
"SRR7423275",0,0,0,-2.2086470541271,0,0,0,0,0,0,0,-3.82548891373546,0,0,0,-4.41218213208615,0,0,0,0,0,0,0,0,0,0,-2.45044086147899,0,0,0,0,0.174196149369116,0,6.17882196992218,0,-2.60451287401859,-4.24428807302446,-2.15701456625798,0,0,-5.1024370170495,4.51114862676743,3.73605882142496,-1.34476326840812
"SRR7423276",5.11847795702675,0,0,-2.22735810747817,0,0,0,4.66002206818148,0,0,0,-3.85789740880265,0,0,0,-2.23419436926799,0,0,0,0,0,0,0,0,0,0,0,-5.43070608625599,0,0,0,3.86973816155646,0,3.98604226645526,0,0,0,0,4.2058448205852,0.45563814138001,-2.99585091083079,0,0,-5.18896598946043
"SRR7423277",-2.55599703753915,4.44614734823728,0,0,-2.42538546224691,0,-4.42711673301334,0,0,0,-4.20089084855058,0,0,0,0,-2.26602830020311,0,0,0,0,0,0,0,0,0,0,-2.60016523885577,0,0,0,0,3.92487614734073,0,6.34764456672795,0,0,-4.50361830177266,-2.25432083279404,0,0,-4.74875328714701,0,3.90459821896026,0.0845578885304441
"SRR7423278",0,0,0,-4.38350314248454,-2.44384288589251,0,0,0,0,0,-4.23286004408157,-0.259683707554152,0,0,0,-2.1876380688479,0,0,0,0,0,0,0,0,0,0,-2.49349340450501,0,0,0,0,3.78910028381643,0,3.44319655086776,0,0,-4.31885726494056,0,5.01699365341462,0,-2.30534756741284,0,0,3.99297911586436
"SRR7423279",0,0,0,0,0,0,0,4.32330094084746,0,0,0,0,0,0,0,-2.2378237337356,0,0,0,0,0,0,0,0,0,0,-2.57138629463607,0,0,0,0,3.87602440521354,0,3.55253439493391,0,0,-4.45377170819594,-2.13348379846446,4.5066801559864,0,-4.7069563094836,0,-3.69530233606549,0.147819001156933
"SRR7423280",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.37921974809336,-5.046653150575,0,0,4.14067855370369,0,0,6.0941169885215,0,0,-4.12092948606893,-2.78800852845538,0,0.0826821233238801,-0.315948644344549,0,-4.82897242322006,-0.872179491134084
"SRR7423281",0,0,-2.61318635475877,-2.57748466186355,0,0,0,4.56849027454334,0,0,0,-4.46433439007715,0,0,0,0,0,0,0,0,4.52617153608789,0,0,0,0,0,-2.53883332288728,-2.35138874847382,0,0,0,0,0,6.24721753176059,0,-2.34686007468945,-4.39738830718968,0,0,-4.07272478070246,-2.34799746052547,4.06488088761702,0,4.06685089767282
