"","Part","BalanceID","Component","Group","d.group"
"64022","1","671267__28117_397865","671267","671267__28117_3978651","p__FCB group"
"64074","1","817__46506","817","817__465061","p__FCB group"
"64237","-1","817__46506","46506","817__46506-1","p__FCB group"
"64456","-1","67269__821_33043","821","67269__821_33043-1","p__FCB group"
"64568","-1","67269__821_33043","33043","67269__821_33043-1","p__Terrabacteria group"
"64636","1","67269__821_33043","67269","67269__821_330431","p__Terrabacteria group"
"64981","1","40520__239935","40520","40520__2399351","p__Terrabacteria group"
"65087","-1","40520__239935","239935","40520__239935-1","p__PVC group"
"65212","1","818__487175","818","818__4871751","p__FCB group"
"65519","-1","818__487175","487175","818__487175-1","p__Proteobacteria"
"65672","1","28117__397865","28117","28117__3978651","p__FCB group"
"65883","-1","28117__397865","397865","28117__397865-1","p__FCB group"
"65972","1","821__33043","821","821__330431","p__FCB group"
"66084","-1","821__33043","33043","821__33043-1","p__Terrabacteria group"
"66402","1","1630__165179","1630","1630__1651791","p__Terrabacteria group"
"66571","-1","1630__165179","165179","1630__165179-1","p__FCB group"
"66741","1","907__218538","907","907__2185381","p__Terrabacteria group"
"66977","-1","907__218538","218538","907__218538-1","p__Terrabacteria group"
"67367","1","261299__574375","261299","261299__5743751","p__Terrabacteria group"
"67421","-1","261299__574375","574375","261299__574375-1","p__Terrabacteria group"
"67490","1","839__77095","839","839__770951","p__FCB group"
"67673","-1","839__77095","77095","839__77095-1","p__FCB group"
"68056","1","79883__84032","79883","79883__840321","p__Terrabacteria group"
"68062","-1","79883__84032","84032","79883__84032-1","p__Terrabacteria group"
"68249","1","840__1113922","840","840__11139221","p__FCB group"
"68577","-1","840__1113922","1113922","840__1113922-1","p__Proteobacteria"
"68671","1","1584__39484","1584","1584__394841","p__Terrabacteria group"
"68757","-1","1584__39484","39484","1584__39484-1","p__Terrabacteria group"
"69089","1","28129__477666","28129","28129__4776661","p__FCB group"
"69306","-1","28129__477666","477666","28129__477666-1","p__FCB group"
