"","908612__2173_88431","204516__821_853","2173__88431","301301__33039_674529","1531__562_33038","208479__333367","649756__100886_487174","821__853","33039__674529","457402__165179_218538","457415__901_197614","328812__1352_487173","562__33038","100886__487174","329854__46228_457412","1211813__100884_626930","322095__818_28116","384638__310297_376804","415425__546_626933","665943__52226_1118060","84030__39490_371601","165179__218538","147207__28111_411489","571__1161942","550__363265","290053__28123_40545","1352__487173","1318__39496","188913__1680_357276","1496__1351_154046","901__197614","469590__665956","46228__457412","563193__1735_246787","100884__626930","573__39492_74426","310297__376804","1689__665950","818__28116","158847__328813_410072","351091__28133_658089","28132__1623_28131","28111__411489","52226__1118060","546__626933","39490__371601","28123__40545","1264__817_310298","1680__357276","1351__154046","457394__39491_360807","905__387090","446660__33043_40520","261299__849_28025","729__1304_47678","253239__45851_239935","39492__74426","1624__1686_291644","1681__341694","1735__246787","454155__46506_166486","328813__410072","1683__328814_751585","28133__658089","907__29466_39488","1623__28131","817__310298","626929__820_40518","97478__28026_28118","626932__1308_39483","45851__239935","1304__47678","849__28025","39491__360807","33043__40520","1118061__28117_216816","1686__291644","46506__166486","29466__39488","328814__751585","820__40518","28026__28118","1226323__39485_46503","28117__216816","1308__39483","39485__46503"
"ERR478988",-2.38705146573701,2.49394627988217,-4.13449441893825,0,0,0,0,-4.68699839585381,0,-2.56249762146812,0,0,0,0,0,0,0,0,0,0,0,-4.43837607465718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45567339084523,0,0,0,0,0,0,0,0,0,0,0,-2.85667470060957,0,0,0,0,0,-2.83384391828053,0,0,0,0,5.5853324549161,0,-2.68066090108741,0,0,0,-4.94790572215239,0,4.90836164718195,0,-4.64304087854677,0,0
"ERR478989",-2.38365254944171,2.51014788020481,-4.12860732322413,0,0,0,0,-4.66747419917478,0,-2.55223226809276,0,0,0,0,0,0,0,0,0,0,0,-4.42059596105341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47028762115755,0,0,0,0,0,0,0,0,0,0,0,-2.84859719031343,0,0,0,0,0,-2.83661602164471,0,0,0,0,5.56100115895028,0,-2.66173221310085,0,0,0,-4.93391506392082,0,4.91316307105253,0,-4.61025542923343,0,0
"ERR478990",-2.50667804558643,-0.270679456219428,4.34169373317315,0,0,0,0,0.00629152915672933,0,0,0,0,0,0,0,0,-2.46990919615822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27800821782765,-2.56030706902857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.43458192653524,0,0,-2.45208249576748,0,0,0,0,-2.49123647738558,0,0,0,0,0,-2.63278941357234,0,0,-4.24713146701956,0,0,0,0,4.56012502993676,4.31494815250073,0
"ERR478991",-2.50814363870058,-0.325391022497693,4.34423221491008,0,0,0,0,0.0925596159114539,0,0,0,0,0,0,0,0,-2.49855292335609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.32762060865249,-2.54708388711589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.93438380733182,0,0,0,-4.41167870362476,0,0,0,0,0,0,0,-2.51208734534481,0,0,0,0,0,-2.6544301387269,0,0,0,0,0,0,0,4.59760786541709,4.35106291518804,0
"ERR478992",-2.50847654669891,-0.23322454888769,4.34480882847744,0,0,0,0,-0.0516598294978808,0,0,0,0,0,0,0,0,-2.50436837016631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33769325799652,-2.56479621219914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.44235735058911,0,0,-2.45954385632282,0,0,0,0,-2.48185980481834,0,0,0,0,0,-2.65698328400665,0,0,-4.26005492259501,0,0,0,0,4.60203004276072,4.29870727920834,0
"ERR478993",-2.5249623465305,-0.296606385367485,4.37336307138916,0,0,0,0,0.103153122393722,0,0,0,0,0,0,0,0,-2.51185358468341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35065802984567,-2.55455793219949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.90445883609141,0,0,0,-4.42462412944761,0,0,0,0,0,0,0,-2.49323003590877,0,0,0,0,0,-2.66316066732777,0,0,0,0,0,0,0,4.61272958453074,4.31840109715077,0
"ERR478994",0,0.0748254116798174,0,-2.59406823156814,0,0,0,-0.151932668464224,4.49305797537637,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.96987804526027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.14397966667413,0,0,0,0,0,0,0,0,0,-2.59505024598091,0,0,0,0,0,0,0,-2.85968084496616,0,0,0,0,0,0,0,0,-2.89089275398084,0,0,0,0,-4.49475887423305,0,0,-4.95311251691288,0,0,0,0,-2.82094972396808,0,5.00717312912753,4.88602824751011
"ERR478995",0,0.0484159900882229,0,-2.63689998726403,0,0,0,-0.175239231004315,4.56724475241902,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.96160402098787,0,0,0,0,0,0,0,0,0,0,0,0,-2.56899265621516,0,0,0,0,0,0,5.12964863625127,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.44962580483599,0,0,0,-2.86186475300409,0,0,0,0,0,0,0,0,-2.89830940896539,0,0,0,0,0,0,0,-4.95689515659363,0,0,0,0,-2.81927998934445,0,5.02001915238299,4.88313618230683
"ERR478996",0,0.0374206110291134,0,-2.5716488088299,0,0,0,-0.164785970617609,4.45422639611736,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.97130882801056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.14645785509222,0,0,0,0,0,0,0,0,0,-2.60603257328755,0,0,0,0,0,0,0,-2.86354219705335,0,0,0,0,0,0,0,0,-2.88956425271439,0,0,0,0,-4.5137808231135,0,0,-4.95980057491382,0,0,0,0,-2.82034579096116,0,5.00487209743612,4.88498220485776
"ERR478997",0,0.0408812527645698,0,-2.57479201693061,0,0,0,-0.117441041620571,4.45967059224656,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.96371613164966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.13330691922869,0,0,0,0,0,0,0,0,0,-2.57968716631416,0,0,0,0,0,0,0,-2.85612772884158,0,0,0,0,0,0,0,0,-2.90408230404155,0,0,0,0,-4.46814923968951,0,0,-4.94695833925992,0,0,0,0,-2.82712070244179,0,5.03001809996165,4.89671669575899
