"","562__1351","33039__357276_1118061","166486__301301_457412","46506__821_328813","626929__338188_454155","246787__626933","45851__40214_40324","357276__1118061","1282__329_1354","410072__39486_363265","1735__39492_310298","584__287_582","821__328813","33038__1689_216816","33043__147802","818__204516","100886__165179_626940","387090__665951","39492__310298","54291__158836","338188__454155","411489__28117_46503","329__1354","1260__74426","674529__296_820","40520__46228_88431","39485__28031_43765","287__582","301301__457412","47678__197_624","1689__216816","39486__363265","1318__571_40545","328812__28111_384638","626930__817_239935","165179__626940","1304__1680_1747","310297__329854","552398__823_1283","296__820","46228__88431","28117__46503","571__40545","1286__550_28116","28111__384638","1680__1747","817__239935","28130__39491_371601","29361__853_487174","28125__37734_360807","28126__546_218538","550__28116","116085__40518_376804","823__1283","39491__371601","214856__626932","853__487174","37734__360807","546__218538","40518__376804","28031__43765","569__147207_469613","197__624","40214__40324","1358__1363","147207__469613","1352__1353"
"ERR2239246",0,0,0,-2.27951202021166,0,0,0,0,0,0,0,0,3.94823063547057,0,0,0,-2.53415422406371,0,0,0,0,0,0,0,-5.63153928123002,0,4.87163803884705,0,0,0,0,0,0,0,0,4.38928387029364,0,0,0,2.108327506075,0,0,0,-2.86169845342438,0,0,0,-3.09066445363201,-2.83901087653039,0,-2.42302110095831,4.9566071172723,0,0,5.35318786283775,0,4.91731108139129,0,4.19679565467128,0,0,0,0,0,0,0,0
"ERR2239247",0,-5.64517706266549,0,0,0,0,0,0.745215424572413,0,0,-2.49380666035085,0,0,0,0,0,0,0,4.31939983998134,0,0,-2.75404930782138,0,0,-3.02769709460032,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.39298137130285,-5.24412519777643,0,4.77015332769653,0,-2.63278909934851,0,0,0,0,-2.25064509226354,0,0,-4.56012448568513,0,4.14476531666239,0,0,-3.898231649606,0,0,0,0,0,0,0,0,0,0
"ERR2239251",6.49934547258327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.89359100512598,0,0,0,0,0,0,0,0,0,0,0,0,-1.94582183391733,0,0,0,0,0,0,5.01184663720249,0,0,0,0,-3.37026227882166,0,-4.72543327181158,0,-2.65431959234985,0,0,0,0,0,0.56029444723661,0,-4.59741639347546,0,0,0,0,0,0,0,0
"ERR2239268",6.04358662453278,0,0,-4.97278613887292,0,0,5.81407929301938,0,0,0,-2.47495132050262,0,0.4516956497179,0,0,0,0,0,4.28674143337023,0,0,-2.65437007621065,0,0,0,0,0,0,0,-2.54044771331479,0,0,0,0,0,0,0,0,0,0,0,4.59750383408732,0,0,0,0,0,0,-2.38224497932198,0,0,0,-2.88811127054488,0,0,0,-4.12616934026155,0,0,-5.00235545849603,0,0,4.40018451343339,0,0,0,0
"ERR2239270",5.89768812126625,0,0,0,0,0,6.19109748432022,0,0,0,0,0,0,-2.23181573650621,0,0,0,0,0,0,0,0,0,0,-5.50760920454096,0,0,0,0,0,-3.86561824876051,0,0,0,-2.16820020856239,0,0,0,0,0.154211139771917,0,0,0,0,0,0,-3.75543292221149,0,-2.23671327146259,0,-2.28851011935253,0,-2.11620281455967,0,0,0,3.87410102813681,0,-3.9638158003541,3.66537079393761,0,0,0,0,0,0,0
"ERR2239271",5.97476734512697,-2.62686008221001,0,-2.268144427521,0,0,4.86132561122709,4.54985512676229,0,0,0,0,3.92854138737059,0,0,0,-2.83364196191635,0,0,0,0,0,0,0,-3.07617440757266,0,0,0,0,0,0,0,0,0,0,4.90801184849827,0,0,0,-5.32809036685893,0,0,0,0,0,0,0,-2.49034243927345,-2.85845678664145,0,-2.48639230565337,0,0,0,4.31339963306662,0,4.95099238570306,0,4.30655780093996,0,0,0,0,0,0,0,0
"ERR2239273",4.215810258293,0,0,-3.23457866802273,0,0,0,0,0,0,0,0,5.60245459409384,0,0,4.15651477072303,0,0,0,0,0,0,0,0,-3.52055283740073,0,0,0,0,0,0,0,0,0,0,0,0,-4.62269440429007,0,-6.09777638510884,0,0,0,-2.50313324061539,0,0,0,-2.54415701813729,-2.50697408733934,0,-2.83489272135846,-4.33555395086039,0,0,4.40660921784672,0,4.34220649253035,0,-4.91017822740005,0,0,0,0,0,0,0,0
"ERR2239275",5.80703913112521,0,0,-2.29172797663199,0,0,0,0,0,0,0,0,-3.96938929265363,0,0,0,0,0,0,0,0,-2.42927641804172,0,0,-6.11646771269462,-2.40815518580281,0,0,0,0,0,0,0,0,0,0,0,4.70493880818768,0,-0.58863333121712,4.17104713432094,4.20763018167718,0,0,0,0,0,-3.03648098388327,-2.57836370059589,0,0,0,0,0,5.25933934030255,0,4.4658569298234,0,0,0,0,0,0,0,0,0,0
"ERR2239291",6.38433549082887,0,0,0,0,0,0,0,0,0,-2.21299088570926,0,0,0,0,0,0,0,3.8330126507353,0,0,2.73212639442784,0,0,0,0,0,0,0,0,0,0,0,-2.57533368707933,0,0,0,0,0,0,0,3.96425162827034,0,-2.001010677825,4.46060879246509,0,0,0,-2.41087127700113,0,0,-3.46585216048073,-2.50269072757121,0,0,0,4.17575154227442,0,0,4.33478749578486,0,0,0,0,0,0,0
"ERR2239293",6.48868801466977,0,0,-2.72520763392786,0,0,0,0,0,0,0,0,4.72019808313762,0,0,2.08329556505349,0,0,0,0,0,0,0,0,0,0,2.95947674166299,0,0,4.20831696130769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.86584842208456,-2.15002579170067,0,0,0,0,0,3.23174426627267,0,3.72395390880906,0,0,0,-2.87595516079541,0,0,0,0,0,0
