"","1735__853_291645","817__322095_357276","853__291645","53345__40214_40324","322095__357276","33043__147802","1304__218538_310298","1283__1352_1354","40519__296_487174","310297__1353_552398","54291__158836","1260__74426","218538__310298","28111__28117_40518","154046__39492_40545","47678__571_573","216816__1689_33038","457412__751585","296__487174","1078764__823_33039","626940__147207_387661","1286__550_328814","28126__821_1118061","1363__287_1351","39492__40545","28117__40518","1623__45851_46506","550__328814","821__1118061","454155__562_818","40520__39485_329854","338188__328813_360807","287__1351","823__33039","45851__46506","562__818","39486__165179_246787","626929__820_46503","39485__329854","328813__360807","1680__239935","301301__28116_39491","166486__204516","328812__626930","1352__1354","501496__626933","1353__552398","165179__246787","571__573","820__46503","28116__39491","624__303_76759","40214__40324","303__76759","72556__80866","293__310575","1689__33038","147207__387661"
"ERR2239639",-2.96852190854188,0,5.14163076897587,0,0,0,0,0,0,0,0,0,0,-2.88008699481217,0,0,0,0,0,0,0,0,-6.02390564528025,0,0,4.98845700523305,0,0,0.804810901240031,-2.5867634777893,0,-2.96990265839352,0,0,0,-4.48040577069464,0,-3.05142832473949,0,5.14402229787146,0,-2.8209545297924,0,0,0,0,0,0,0,5.28522889410358,4.88603657144201,0,0,0,0,0,0,0
"ERR2239640",-2.97594186327769,0,5.15448250756815,0,0,0,0,0,0,0,0,0,0,-2.33527824913028,-2.21173787857209,0,0,0,0,0,0,0,-2.99095847558994,0,3.83084237871147,4.04482057730414,0,0,5.18049204305053,-6.08109956948549,0,0,0,0,0,1.78348301439708,-2.49257221430409,-3.1417373047373,0,0,0,0,-4.1452406542225,0,0,0,0,-4.31726171670914,0,5.4416486358395,0,0,0,0,0,0,0,0
"ERR2239642",-3.26409821358323,5.03825182020832,5.65358394682096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.56386838547271,0,0,-3.3604707202721,0,0,0,0,0,5.82050602485886,-2.8545689899498,-2.84060242388442,5.84127549023037,0,-4.44075030755832,0,-4.94425852430363,0,-2.65701838569486,4.92006772227112,0,0,0,4.99391447747687,0,0,0,0,0,0,4.60209084066814,0,0,0,0,0,0,0,0
"ERR2239643",-3.35056994373151,0,5.80335737685616,0,0,0,-2.52488158024006,0,-2.79362987843697,0,0,0,4.37322318007058,-2.38251207347864,0,0,0,0,-4.83870888699531,0,0,0,-2.61865164247583,0,0,-4.12663196091129,0,0,4.53563769209183,0,-2.81800160811206,0,0,0,0,0,0,-2.9845655331988,-4.88092196106089,0,0,-5.54189758990005,0,0,0,0,0,0,0,5.16941914201922,-0.199854740018794,0,0,0,0,0,0,0
"ERR2239645",-2.37571301851283,-2.72775097072196,4.11485565226704,0,-4.72460327168576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.43591801469509,0,0,0,0,0,-2.98118513067244,0,0,4.21913376452422,0,0,5.16356411309354,0,-3.01453607219574,0,0,0,-2.47585487151335,0,0,0,0,0,0,0,5.22132963829214,-4.28830642962803,0,0,0,0,0,0,0
"ERR2239646",-2.71722912950028,-2.90796811246922,4.70637890810064,0,-5.03674851758686,0,0,0,0,0,0,0,0,-2.82282838606727,0,0,0,0,0,0,0,0,-2.80828007689068,0,0,4.88928218571618,0,0,4.86408377505809,-3.17104196688538,0,0,0,0,0,5.49240579957863,-2.77238219283573,-2.54721258073003,0,0,0,-2.9416075003419,-4.86260314091964,0,0,0,0,-4.80190681599071,0,4.41190160750305,5.09501364651786,0,0,0,0,0,0,0
"ERR2239648",-2.57479496455961,0,4.45967569768975,0,0,0,0,0,0,0,0,0,0,-5.4807359013352,0,0,0,-5.38472124224066,0,0,0,0,-2.98943244508077,0,0,-0.393757444785309,0,0,5.17784888067475,0,0,-2.56232445733929,0,0,0,0,0,-2.73431911415213,0,-4.43807614558801,0,0,0,0,0,0,0,0,0,4.73597962981821,0,0,0,0,0,0,0,0
"ERR2239669",-3.28769270457111,-2.69146372743,5.6944508039907,0,-4.66175192263747,0,-2.82600430003271,0,0,0,0,0,4.89478303006477,-5.47479035562183,-2.79320349682342,0,0,0,0,0,0,0,0,0,4.83797037237722,-0.184192448657919,0,0,0,0,0,0,0,0,0,0,-2.57702331047238,-2.92189352820483,0,0,0,-2.71720731400608,0,0,0,0,0,-4.4635353060275,0,5.06086804515745,-4.7063411225563,0,0,0,0,0,0,0
"ERR2239674",2.10629250479699,0,4.010270250406,0,0,0,0,0,0,0,0,0,0,-2.98423421104519,-2.62660918829664,0,0,0,0,0,0,0,-4.73116697993154,0,4.54942056575704,5.16884527521549,0,0,0.06095332720951,-3.71944851190951,0,0,0,0,0,6.44227379876373,-2.42016170919357,0,0,0,0,-2.2919218751176,0,0,0,0,0,4.191843042856,0,0,-3.96972513468222,0,0,0,0,0,0,0
"ERR2239675",-2.52797338880283,1.63832232520159,4.37857834958857,0,-5.72111404982799,0,0,0,0,0,0,0,0,-2.42917092103517,0,0,0,-4.9556286110454,0,0,0,0,0,0,0,4.2074474555018,0,0,0,0,0,0,0,0,0,0,0,-3.53200488042871,0,0,-4.2255547114851,-5.67762273375634,0,0,0,0,0,0,0,6.11761190548377,0.424681739147333,0,0,0,0,0,0,0
