"","308994__310297","454154__28117_633701","84026__46506_437898","228603__187327_239935","28117__633701","328813__46503_301302","387090__410072","856__40520_291645","187327__239935","46506__437898","1535__853_46228","39485__83771","39492__821_351091","28116__204516","853__46228","821__351091","28136__626937","850__36847","246787__158847_357276","1280__28111_47678","40520__291645","544645__818_40518","46503__301302","387661__234908_310298","562__371601","817__165179_360807","158847__357276","818__40518","28111__47678","234908__310298","165179__360807"
"SRR5365456",0,-2.97981824239168,-3.10422723938419,0,5.16119659314298,0,0,0,0,5.3766792968527,0,0,-3.46808566745574,0,0,6.00690058103476,0,4.47507446390186,0,0,0,0,0,-5.65058594623087,0,-2.27286745411516,0,0,0,-1.50815520689521,3.93672190939719
"SRR5365457",0,-1.89630045297015,0,0,3.28448873096018,0,0,0,0,0,-1.72675788959401,0,-3.93491263699234,0,2.99083239714724,1.01220755714001,0,0,0,0,0,0,0,-4.39583513543257,0,-3.84027067187093,0,0,0,0.713442439877887,6.65154391849712
"SRR5365458",0,0,-2.47030533290314,0,0,0,5.07320863018359,0,0,4.2786943467966,0,0,-2.80554704890268,-4.5939640429904,0,4.85935003172437,0,0,0,-2.46441947013995,0,0,0,-6.51519774126495,0,0,0,0,4.26849973344437,-0.745121538828038,0
"SRR5365459",-5.4993189807646,0,0,-1.96381244091978,0,0,0,0,3.40142292420892,0,0,0,-2.31126494823395,0.578501772062032,0,4.00322832009426,0,0,0,0,0,0,0,-5.73957795806874,0,-2.34603462322711,0,0,0,-2.33576383354925,4.06345116374507
"SRR5365460",0,0,0,-3.12357903539743,0,0,4.43457217963531,0,-5.41019759076533,0,0,0,-5.18322752241221,-4.45583767041326,0,-0.259105675933451,0,0,0,-3.04076334774463,0,0,0,-2.50241380372906,0,0,0,0,5.26675661208693,-4.33430784962043,0
"SRR5365461",0.21696860301221,2.82193378226786,0,0,4.25148231934986,0,0,0,0,0,0,0,-3.08494107730123,-4.02689511104195,0,5.343274684242,0,0,0,0,0,0,0,-3.5281745012731,0,0,0,0,0,-6.11097749417399,0
"SRR5365462",0,0,-2.87147102953344,0,0,0,0,0,0,4.97353371561404,-2.47733668415877,4.6466412804075,-3.544468725295,0,4.2908730044172,6.13919991804984,0,0,0,0,0,0,0,-2.77920043605297,-4.27889930899842,-4.83125262369919,0,0,0,-4.81371635966132,-0.729826527578379
"SRR5365463",0,0,-3.47690996592788,0,0,0,0,-2.32718701121153,0,6.02218471432967,-2.83277650171108,0,0,-5.17427046185008,4.90651282745081,0,0,0,0,0,4.03080614213274,-2.39087426529775,0,0,-0.252892389615242,0,0,4.14111570200462,0,0,0
"SRR5365464",-4.40490021379618,0,-3.0168408982652,0,0,0,0,0,0,5.22532171414705,0,0,-3.28896909233187,0.468048514706172,0,5.6966615724425,0,0,-2.21407616549465,0,0,0,0,-3.55492088984191,0,-2.20939946255821,-3.83489241046401,0,0,-6.15730359809416,3.82679212336619
"SRR5365465",-4.61660753667491,0,-2.75251888071695,0,0,4.95232009041324,1.09845148649147,0,0,4.76750255019437,0,0,-2.78055049953475,-4.49444605116719,0,4.81605473820521,0,0,0,0,0,0,0,-3.5637042293024,0,0,0,0,0,-6.17251678829985,0
"SRR5365466",0,-2.83322738867707,0,0,4.90729378658437,2.83639589515305,4.35477880784608,0,0,0,-2.651782308605,0,-2.37857257282061,0,4.59302168911615,4.11980854561512,0,0,0,0,0,-2.61929742829662,4.03808512703984,-3.46866316855233,0,0,0,-4.53675622594425,0,-6.00790084227549,0
"SRR5365467",0,0,0,0,0,0,0,0,0,0,-1.92639135452666,3.91154202934019,-2.26101880334452,0,3.33660770130161,3.9161994442613,0,0,1.71081549032021,0,0,0,0,-2.41079242409652,0,0.389003311669413,-3.39231359100224,0,0,-4.17561496503731,6.62864792669023
