"","46506__1118061","39485__296_204516","626933__550_53345","1352__28116_39492","310298__40518_46503","46228__246787_357276","1747__329_29361","457412__301301_338188","296__204516","571__573_37734","329854__820_28117","818__310297","1363__1353_1358","147802__33043_40324","28116__39492","823__1735","371601__28111_411489","40519__751585","246787__357276","584__817_626940","1282__29382","40518__46503","287__1582","1286__1283_216816","550__53345","1353__1358","1260__74426_754333","214856__328813_360807","301301__338188","582__88431","573__37734","28126__154046_384638","665951__546_40545","329__29361","820__28117","39486__218538_328814","33043__40324","454155__208479_658659","40215__303_501496","665950__33038_39488","817__626940","158836__169292","1689__1070699","40520__658086","100884__54291_665956","101564__300_363265","28123__548_386414","208479__658659","28090__410072","2173__45851_239935","28111__411489","54291__665956","548__386414","291645__552398","72556__293_147207","328813__360807","624__47678_166486","328812__626930","1283__216816","285__729","74426__754333","546__40545","300__363265","154046__384638","1623__33039_39491","1354__80866","218538__328814","43765__387661","1318__658081","303__501496","47678__166486","45851__239935","28125__40214_165179","33038__39488","33039__39491","293__147207","1681__853_487174","40214__165179","853__487174"
"ERR2239231",0,0,0,0,-2.67782753382093,-2.81412996367212,0,0,0,0,-2.93604981072493,0,0,0,0,-0.369910813274823,0,0,-4.87421607618207,0,0,4.63813334248471,0,-4.68968999369459,0,0,0,0,0,-4.12914176560062,0,0,0,0,5.08538744572857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117620997951097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.42216440754609,0,5.92736262572367
"ERR2239235",0,0,0,0,0,0,0,0,0,0,-5.40228114783822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.5008224422845,-2.34708975699709,0,0,0,0,0,0,-0.579244160621753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.06527870904345,0,0,0,0,4.33155153074524,0,0,0,0,0,0,0,0,0,0,0,1.78340220191002,0,0,0,-5.4497919133325,-6.23750725033336,0.524372380124683
"ERR2239236",0,0,0,-2.48602391540848,0,0,0,0,0,0,-6.18355247570612,4.67496164529905,0,0,4.3059197303188,0,0,0,0,0,0,0,0,0,0,0,0,-2.52610446709797,0,0,0,0,0,0,0.332708569299265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.00583095127571,0,0,0,0,0,-4.37534128224039,-2.64253568513109,0,0,0,0,0,0,0,0,0,0,0,0,0,4.57700606746089,-5.20625192657261,0,0,0,0,-2.46792967625373,0,4.27457958877847
"ERR2239237",0,0,0,-2.86697174004886,3.66424605297483,0,0,0,0,0,-2.62441862338861,0,0,0,4.96574071762879,0,5.27157415221819,0,0,0,0,-4.92637025883002,0,0,0,0,0,0,0,0,0,0,0,0,4.54562639603904,-2.57724058681445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.62356277047272,0,0,0,0,0,0,0,-2.4994570000288,0,4.46391163969126,0,0,0,-4.54414401530491,0,0,0,-4.32918651538357,0,0,0,0
"ERR2239240",0,-2.79791234587697,0,0,0,-2.7608628080017,0,0,4.84612633818314,-2.79481473567248,-2.64670829152734,0,0,0,0,0,0,0,-4.78195465618622,0,0,0,5.29648088108502,0,0,0,0,0,0,0,4.84076111992692,0,0,0,4.58423323373918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.74987187988063,0,0,0,0,0,0,0,0,0,-4.7629178102582,0,-5.3452607307344,0,0.669365152682257
"ERR2239245",0,0,-2.57773436450458,0,-2.52637405840335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.89715916285958,0,-4.37580822807858,0,0,-4.46476688773821,0,0,-2.68983954512596,0,0,0,0,0,0,0,0,0,0,0,0,-5.0180268676865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.65893875636613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.91966767679124,0,0,0,-3.17494228163038,-5.05701275741902,5.49916134288247
"ERR2239246",0,1.44724109860211,-2.86169288038059,0,0,0,0,0,5.93121018019766,0,-2.20714234098508,0,0,0,0,0,0,0,0,0,0,0,0,0,4.95659746447731,0,0,0,0,0,0,0,-2.42301552791453,0,3.82288267412267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.19678600187629,0,0,-3.09065888058822,0,0,0,0,0,0,0,-2.53414865101993,0,-5.35317821004276,0,-2.8390053034866,-4.38927421749864,4.9173014285963
"ERR2239247",-4.51624938004833,0,0,-5.12658461361179,0,-3.03770812127953,0,0,0,0,-5.78173525633413,0,0,0,0.240724645703788,4.14475566386739,0,0,-5.26146480462075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.473971870079896,-2.31228723860167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.00499897895124,0,0,0,0,0,0,0,0,0,-2.25063951921975,0,-3.89822199681101
"ERR2239248",0,0,0,-2.67245793094508,-2.9266487352057,-3.55587927057639,0,0,0,0,-2.83540041471761,5.05754353939737,0,0,4.62883291748727,0,0,0,-6.15896356221926,-2.63583737588778,0,-5.06910430528346,0,0,0,0,0,-2.56250738487749,0,0,0,0,0,0,4.91105757809276,0,0,0,0,0,-4.56540425552666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.43839298537828,0,0,0,0,0,0,0,0,-2.52504631130914,0,0,0,0,0,0,0,0,0,4.37350850265181,0,-2.67402998929186,0,4.63155580241637
"ERR2239251",0,0,0,0,0,0,0,0,0,0,-2.89358543207494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.01183698439495,-2.65431401929882,0,0,0,0,0,0,0,0,0,0,-3.02894670525739,0,0,-1.9458162608663,0,0,5.24628958692416,0,0,0,0,0,0,0,0,0,0,0,0,0,4.59740674066792,0,0,0,0,-3.37025262601412,0,0,0,0,-4.72542212570952,0,0.56029444723661
