"","46228__216816_310297","40545__28026_28130","328814__820_28116","301301__1118061","384638__28111_328813","53345__316_322095","1680__751585","291644__821_204516","546__818","674529__1318_29382","37734__1351_1352","584__329854_626929","820__28116","571__46503_357276","1282__100886_626932","821__204516","548__562_817","28111__328813","216816__310297","1747__1358_103892","562__817","296__47678_246787","376804__39485_338188","29361__287_582","1735__823_1078764","46503__357276","1304__1582_469613","40520__411489","1351__1352","329854__626929","154046__1354_54291","39486__329_658089","116085__39488_626940","100886__626932","626933__166486_487174","1318__29382","39485__338188","88431__853_40518","293__47770","28025__147802","28125__573_360807","1363__454154","823__1078764","72556__457412","47678__246787","28026__28130","316__322095","291645__387661","310298__39491_46506","303__1623","1286__1681","106649__454155","587__43765","624__469610","1358__103892","287__582","158836__754333","521720__626930","166486__487174","1396__550_45851","569__387090_658081","147207__729_1531","39488__626940","40214__40324","1354__54291","363265__487173","1582__469613","40519__487175","39496__214856","2173__410072","649756__33039_39492","501496__658086","573__360807","853__40518","329__658089","729__1531","328812__165179_239935","39491__46506","550__45851","1689__33038","387090__658081","33039__39492","165179__239935"
"ERR2239132",0,0,-2.96166225677336,0,0,0,0,0,-4.43234179249146,0,0,0,5.12974950359057,-2.61813169886067,0,0,0,0,0,0,0,0,0,0,-6.02076131154674,-4.5347371233333,-2.53922638712605,0,0,0,0,0,0,0,-2.58876960748675,0,0,-2.79330013218188,0,0,0,0,-1.31435993095833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.48388048925718,0,0,0,0,0,0,0,4.39806911442188,0,0,0,0,0,0,4.83813774972788,0,0,-2.49026167886996,0,0,0,0,0,-4.31325975194455
"ERR2239172",0,0,-2.47502126481746,0,0,0,0,-2.65759040243354,4.81899610849758,0,0,0,4.28686258047723,0,0,4.60308160272231,-3.39556524410961,0,0,0,5.88129152321286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.64799731867758,0,0,0,0,0,0,0,0,0,0,-2.39434957773813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.58646589425573,0,0,-3.05486853010588,4.14713511972353,0,0,0,0,5.29118750458664
"ERR2239194",0,0,-1.14651869264782,0,0,0,0,-1.51605346285305,0,0,0,0,1.98582862749347,0,-1.44566318482784,2.62588162465221,-3.78762897939841,0,0,0,6.56036583253829,0,0,0,0,0,0,0,0,0,0,0,0,-2.50396208675366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.3902303796278,0,0,0,0,0,0,0,0,5.19164997769427,-1.83354091552062,0,0,0,0,0,-2.63583684511774,0,0,0,-2.40794965174112,3.17578602343808,-4.56540333620598
"ERR2239202",-2.8226627274163,0,0,0,0,0,5.12163261786629,0,0,0,0,0,0,0,0,0,0,0,4.88899525651598,0,0,0,0,0,0,0,0,0,0,0,0,-2.47201685170662,-2.7123347862022,0,0,0,0,-2.78089672258997,0,0,0,0,0,0,0,0,0,0,-3.56353378305141,0,0,0,0,0,0,0,0,0,0,0,0,0,4.69790165683867,0,0,0,0,0,0,0,2.27054802699916,0,0,4.81665441412759,-4.28165878432232,0,0,6.17222156673317,0,0,0,4.08952441008354,0
"ERR2239204",0,0,-2.52635289535607,0,0,0,0,0,0,0,0,0,4.37577157260546,-3.14122040587379,0,0,0,0,0,0,0,-2.50665007895781,-3.17041411443963,0,0,-5.44075334074554,0,0,0,0,0,0,0,0,0,0,5.49131832724292,-2.44933678415578,0,0,0,0,0,0,-4.34164529355146,0,0,0,-2.4035149359549,0,0,0,0,0,0,0,0,0,0,-3.30201040610487,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.24237575500518,0,0,-2.63659453660045,-4.16300998582454,-5.71924979049478,0,0,0,-4.56671569635049
"ERR2239206",0,0,-2.00387111886634,0,0,0,0,0,0,0,0,0,3.4708065896964,-2.67441636972249,0,0,-2.35357900796807,0,0,0,4.07651842142825,-2.39417670482448,0,0,0,-4.63222503295326,0,0,0,0,0,0,0,0,-2.54164328824936,0,0,0,0,0,0,0,0,0,4.14683569505383,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.40225530996432,0,0,0,0,0,0,0,0,0,0,0,-2.06330206669638,-3.23855974052059,0,0,0,0,-3.81306169488539,0,0,0,0,3.57374401088,-6.6044165879362
"ERR2239208",0,0,-5.07206746009598,0,0,0,0,0,0,0,0,0,0.0751361774836873,0,0,0,-3.06171522541174,0,0,0,5.30304632872033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.69284587131502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.82248233528789,0,0,0,0,0,0,0,0,0,-2.61592169710235,0,0,0.362460814609279,0,0,0,0,0,0,-4.88868280818428,4.53090928800308,0
"ERR2239212",0,0,-2.61677716808129,0,0,0,4.56963373773263,-2.69498620393077,-3.67380070928534,0,0,0,4.532391007203,0,0,4.66785303090528,0.379313417449978,0,0,0,6.43514254143283,0,0,0,-2.07348504809813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.59138145204037,0,0,0,0,0,-2.64228186397328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.34364386908807,4.57656643631952,0,0,0,0,-4.05931025610784
"ERR2239215",0,0,0,0,0,0,0,-2.22748058521632,-3.59317393421065,0,0,0,0,5.60656062598399,0,3.85810954646792,-5.73451480124036,0,0,0,0.752473761257353,-2.43375856184649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.61401501714883,0,0,0,0,0,0,4.21539348247389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.64692844727306,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5276068214498,0,0,0,0,6.31666536224521,-3.94391374993892,0,0,0
"ERR2239217",0,0,-3.18449906552848,0,0,0,0,0,0,0,0,0,5.51571417815095,-3.67779395805034,0,0,0,0,0,0,0,0,0,0,0,-6.37012599511304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.32369313641479,0,0,0,0,0,-1.69136978141516,0,0,0,0,-5.75680538103836,-2.92953839579772
"ERR2239218",0,0,-2.79902622520045,0,0,0,0,-2.73033350828681,0,0,0,0,4.84805563376491,0,0,4.72907635796053,0,0,0,0,0,0,-2.60325979885935,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.50897823692594,-6.22611317920039,0,0,-3.01446445150876,0,0,0,0,0,0,0,-2.61567206255245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.72489161368854,0,-5.22120558762342,1.17450715792869,0,0,0,-4.53047690827932,0,0,0,4.7196507200269,0
"ERR2239222",0,0,2.26777498189638,-4.03758766039964,0,0,0,0,0,0,0,0,4.25607394315975,0,0,0,-3.51958794997721,0,0,0,6.09610515106772,-2.46524649847879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.67547157258064,0,0,0,-4.26993218854654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.12997356860449,0,0.413400846804744,0,0,0,0,0,0,0,0,-5.42127324717065,0
"ERR2239223",0,0,-2.12244211626386,0,0,0,0,0,-1.25380080104642,0,0,0,-3.67617758149302,2.92043130839787,0,0,-3.78950155363751,0,0,0,6.56360922626137,5.73794129074774,0,0,0,0,0,0,0,0,0,0,0,0,-1.87455964903871,0,0,0,0,0,-1.50875870513006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24683255395353,0,0,0,0,0,0,0,0,-2.58587641495694,0,0,0,0,2.6132467336471,0,0,0,0,0,0,0,0,0,0
