"","33039__820_821","550__46503","29382__218538_239935","40545__338188_487174","1735__216816_387090","411489__40518_363265","218538__239935","820__821","1582__74426_204516","1351__571_37734","338188__487174","1363__329_1747","1078764__287_166486","40518__363265","216816__387090","74426__204516","287__166486","457412__584_28116","46228__310297","54291__384638","1282__291644_751585","147802__546_165179","28126__371601_1118061","548__28111_39492","1260__45851_674529","40519__100886","584__28116","33043__46506_357276","296__1318","301301__328812","546__165179","571__37734","322095__39485_328814","28125__573_360807","329__1747","626932__626940","28111__39492","1613__1680","371601__1118061","40214__33035_292800","626933__47678_246787","582__88431","1502__40324","33945__1354_28118","45851__674529","469610__28123_501496","1288121__28117_328813","46506__357276","291644__751585","658086__214856_552398","457394__43765_154046","1689__33038_39488","28130__116085","2173__1535_908612","1632__658081","840__1596","1681__169435_208479","1535__908612","291645__665951","573__360807","39485__328814","47678__246787","1286__562_817","29361__454155","28117__328813","1352__1353","1354__28118","33035__292800","28123__501496","39777__624_1531","47715__1512_147207","214856__552398","729__40520","39486__823_39491","562__817","43765__154046","626930__818_853","29466__36834","33038__39488","823__39491","169435__208479","624__1531","818__853","1512__147207"
"ERR2239271",-5.34430556592453,0,0,0,0,0,0,1.39954897948834,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.32002099840059,0,0,-2.43065617102898,0,0,-2.62685344762545,0,0,-0.601454047558314,0,0,0,0,0,0,0,0,0,0,0,0,0,4.21001998395303,0,0,-4.54984363532475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.44952690046988,0,0,0,0,0,0,0,0,0,0,-2.49033580468889,5.97475585368942,0,-2.85845015205689,0,0,-4.31338814162908,0,0,-4.95098089426551,0
"ERR2239273",-6.75511823625434,0,-2.8348860867739,0,0,0,4.9101667359625,0.495321791014996,0,0,0,0,0,0,0,0,0,-2.50312660603083,0,0,0,0,0,0,0,0,-4.33554245942284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.43399255289329,0,0,0,0,0,0,0,0,0,0,-2.54415038355273,4.21579876685546,0,-4.90672573993781,0,0,-4.40659772640918,0,0,-0.185691721807317,0
"ERR2239275",-3.22815102787884,0,0,0,0,0,0,5.59132159479185,0,0,0,0,0,0,0,0,0,0,-0.533891673866739,0,0,0,0,0,0,0,0,0,5.00268826357473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.72099112550459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.35268897096527,0,0.23824088902355,0,0,0,0,0,0,0,0,-3.03647434929871,5.80702763968766,0,-2.57835706601133,0,0,-5.259327848865,0,0,-4.46584543838585,0
"ERR2239291",0,0,0,0,0,2.51819077698936,0,0,0,0,0,0,0,4.33477600434731,0,0,0,-2.00100404324044,0,0,0,0,0,-4.78831130361947,0,0,-3.46584066904319,0,0,0,0,0,0,-2.94117801193893,0,0,0.627596141729794,0,0,0,0,0,0,0,0,0,-2.28875511013273,0,0,0,0,0,0,0,0,0,0,0,0,5.09426975078266,0,0,-3.68599117964237,0,3.9642401368328,0,0,0,0,0,0,0,0,0,6.38432399939132,0,-2.41086464241657,0,0,0,0,0,-4.17574005083687,0
"ERR2239293",-2.7252009993433,0,0,0,0,0,0,-4.72018659170007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.3099484793782,0,0,0,0,0,0,0,-2.10415184606928,0,0,0,0,-1.28821446436602,0,0,0,0,-1.66042685167796,0,0,0,0,0,0,0,0,0,4.00094812914951,3.64449790423185,-3.74623913737253,0,0,0,0,0,-2.23125290332708,0,0,0,0,-1.86584178749999,6.48867652323222,2.87594366935787,-3.35280377781673,0,0,-3.23173277483512,0,0,-1.64065834375556,0
"ERR2239294",-2.5468696372391,0,-3.410510769872,0,0,0,5.90717793317915,4.41130761195264,0,0,0,0,0,0,0,0,0,-2.17042610041366,0,-3.78882922613402,0,0,2.80191289505121,0,0,0,-3.75928827999005,0,0,0,0,0,-2.72733468954579,0,0,0,0,0,-4.86965996853741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.7238822515384,0,0,0,0,0,0,0,0,0,0,0,0,-2.32313359739581,0,0,-2.87055764798249,0,0,-4.02378542345981,0,0,-4.97195169236108,0
"ERR2239303",-3.08015608737982,0,0,0,0,0,0,5.33498683858441,-2.90159366741518,0,0,0,-2.71744380448715,0,0,-5.0257076548832,-4.70675073608501,0,0,0,0,0,0,0,0,0,0,-3.22173778373233,0,0,0,0,0,0,0,0,0,0,0,0,-2.98393714144122,0,0,0,0,0,0,-5.58021353008875,0,0,0,0,0,0,0,0,0,0,0,0,0,5.16833073556803,0,0,0,0,0,0,0,0,0,0,0,-2.9739686235929,0,0,-5.40285848635823,0,0,-5.15106475617859,0,0,0.351173885000104,0
"ERR2239312",-2.46040051991876,0,-5.41552096101568,0,0,0,0.19019949402645,-4.26153870746818,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.49398014469614,0,-2.5713653148091,0,0,0,-2.31704885526686,0,0,-6.05175113125058,0,-2.31244300044459,0,0,0,-4.4537353700697,0,0,0,0,0,0,0,0,0,-2.64567456820678,4.0132463409415,0,0,0,0,0,0,0,0,0,0,0,0,4.00526876637705,0,-3.19237655731747,0,4.582442772427,0,0,0,0,0,0,0,0,0,5.52935839416567,0,0,0,0,0,0,0,0,0
"ERR2239317",-1.24663508742334,0,-2.94247137825869,0,0,0,-5.09650992696127,-2.15923530991529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.06640865177183,0,0,0,0,-3.12984221749816,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1756376166341,0,0,0,0,0,0,0,0,3.57912477406872,0,-3.79850802107751,0,0,0,0,0,0,0,0,0,-2.36630501248329,-1.71279224068189,6.57920888546416,0,-2.6349062464464,0,-2.03626408329945,-2.96664318367077,0,0,-4.56379149202577,0
"ERR2239318",0,0,0,0,0,-2.4032355482419,0,0,0,0,0,0,0,-4.16252607211061,0,0,0,0,0,-4.05327691506083,0,-3.09173751663627,0,0,-3.07168259466558,0,0,0,0,0,-5.35504646248085,0,0,0,0,-0.841561536765051,0,0,0,0,0,-3.97332312139302,0,0,5.32031031868577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.05537297529262,0,0,-3.14323394783046,0,0,-5.29206122927971,0,0,-5.44424089771766,0
"ERR2239320",-2.41126657021164,0,0,-2.43673372297102,0,-2.65169134191477,0,-4.17643621019891,0,0,-4.22054661270227,0,0,4.59286413018688,0,0,0,-2.41626853871761,0,0,0,0,0,0,0,0,-4.1850998737891,-5.38302572352354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.25591518590029,0.395081711194234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.63941052711438,0,0,0,0,0,0,0,0,-2.82680975306751,0,0,-3.0762918468554,0,0,-4.89617811564417,0,0,-5.32829377766344,0
"ERR2239330",-6.00840337283255,-4.45224751833857,-2.84608101765575,0,0,-2.6532507739113,4.9295569250371,-0.54193019954581,0,0,0,0,0,4.59556514563582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.70124812100947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.269117874102977,0,0,0,0,0,0,0,0,-2.90833227438341,0,0,-2.73066850061191,0,0,-5.03737926452441,0,0,-4.72965658168776,0
