"","818__40519_387090","821__856","45851__1605_40518","1304__820_328813","1735__853_165179","309120__397865","729__1502","850__1515_84026","820__328813","28125__28136","46503__454155","189722__228603","218538__234908_351091","40519__387090","310297__310298","1605__40518","28026__762212","228604__29363_39491","853__165179","1018__28111_39492","562__358742","1264__28117_47678","52226__39485_158847","823__817_1297750","371601__28116_204516","840__308994_360807","39484__46506_487175","28117__47678","39485__158847","437898__357276_454154","817__1297750","308994__360807","46506__487175","28111__39492","234908__351091","28116__204516","357276__454154","376804__589436","29363__39491","1515__84026","40520__1161942"
"SRR5446949",0,4.95924817175473,0,-2.74291074912356,-2.75729982049964,0,0,0,4.75086077810882,0,0,0,0,0,-1.37447501178162,0,0,0,4.77578338080592,0,0,0,-2.31256253431724,0,-2.59101132851877,0,-4.7103182244677,0,4.00547580511771,0,0,0,0.473568279488525,0,0,-4.48776326398105,0,0,0,0,0
"SRR5446950",0,0,0,-2.50070619972466,0,0,0,0,4.33135019272559,0,0,0,0,0,-1.58210027694963,0,0,0,0,0,0,-4.60628745715311,0,-2.51052518344789,-2.53255449790976,0,-2.43235607227288,0.225924540719267,0,-2.39549653198342,-4.34835717141292,0,4.2129642992753,0,0,-4.3865130633168,4.14912170275032,0,0,0,0
"SRR5446957",4.961142030295,4.45474643778791,0,-2.5883610303311,-5.72320492855434,0,0,4.15563486480696,4.48317281286479,0,0,0,0,0,-5.38267731534366,0,0,0,0.345326961560279,0,0,-2.37369417420552,0,0,-2.53537592883084,0,0,4.11135891135422,0,0,0,0,0,0,0,-4.39139992502215,0,0,0,0,0
"SRR5446959",4.79415337718282,0,0,0,-6.07293165363054,0,0,0,0,0,0,0,4.59714496682657,0,-3.71440547075158,0,0,0,-1.61049633527744,0,0,0,-2.38241370233256,-2.41069574263802,0,-2.18649711117369,0,0,-4.12646157708827,0,4.17544750783904,3.78712408715541,0,0,0,0,0,0,0,0,0
"SRR5446961",0,4.83873697130066,0,0,0,0,0,0,0,0,0,0,0,0,-5.73142833596073,0,1.34674314382051,0,0,0,0,-2.56462704224836,-2.32388207969941,-2.5551501220926,0,0,-2.52446520629409,4.44206433963925,-4.02508183283821,0,-4.4256498324302,0,4.37250199924121,0,0,0,0,0,0,0,0
"SRR5446965",0,0,0,-2.18016885062729,-5.94389407937964,0,0,0,3.77616321836551,0,0,0,5.30520103897285,0,-3.27429750358084,0,0,0,-2.72832342805305,0,0,-1.83954653799403,0,-2.02704822525388,0,-2.54609848026837,0,3.1861880666931,0,-2.0473157582962,3.51095051553205,4.40997192889871,0,0,0,0,-3.54605491250543,0,0,0,0
"SRR5446971",0,4.82273874312482,0,-2.83996744342148,0,0,0,0,4.9189679038475,0,0,0,4.65791615006093,0,-4.63226077636968,0,0,0,0,0,4.08404461490197,0,0,0,0,-4.91167897068623,0,0,0,-2.63206689535174,0,0.631348683638588,0,0,0,0,-4.55887359166928,0,0,0,0
"SRR5446972",0,4.78852178299136,-2.61555100095393,-3.14556039935287,-2.31843755154101,0,0,0,5.44827042995582,0,0,0,0,0,-0.922974702497556,-4.53026722343983,0,0,4.01565163344461,0,0,0,-2.90378602212417,0,0,0,-2.36499692982546,0,-5.02950492462739,-2.74393147362841,0,0,4.0962948422021,0,0,0,4.75262872481174,0,0,0,0
"SRR5446976",0,4.46995540644536,0,-2.71039053947778,-3.01513425494842,0,0,0,4.69453412272953,0,0,0,4.72896691619055,0,-5.28370145268982,0,0,0,5.22236572121199,-5.25022166025356,0,-2.30079469157371,0,-2.33562113042609,0,0,0,3.98509330359043,0,0,-4.04541446512944,0,0,0.495995811890531,0,0,0,0,0,0,0
"SRR5446981",0,4.0317295744587,0,0,-5.93479179441173,0,0,0,0,3.94857563898605,0,-3.72458773120431,0,0,-5.21613870991418,0,0,5.53262972959249,-2.47841067411929,0,0,0,0,0,0,4.20673762605232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
