"","39492__310298","626940__246787_751585","246787__751585","46506__329854","33043__88431_310297","817__100886","338188__28111_360807","88431__310297","410072__818_40545","328814__28117_487174","1118061__820_411489","384638__218538_357276","214856__28116_328813","487175__823_291644","28111__360807","818__40545","28118__166486_674529","573__33038_658081","820__411489","52226__39488_469588","216816__261299","29348__46503_387090","28117__487174","823__291644","218538__357276","39496__1735_47678","40520__46228_457412","1161942__45851_165179","28116__328813","1623__39491_204516","376805__665951","187327__821_40518","158847__33039_239935","166486__674529","46503__387090","1735__47678","33038__658081","39491__204516","658082__853_487173","46228__457412","821__40518","39488__469588","45851__165179","33039__239935","853__487173"
"ERR321216",0,0,0,0,0,0,-3.10457062564989,0,0,-2.7628417943549,-2.75761319643156,0,0,0,5.37727405931151,0,0,0,4.77632616384188,0,0,0,-4.78538236109745,0,0,1.99702316485434,5.48386188546873,0,0,-2.97896763274802,0,-2.84570542162877,0,0,0,-5.26656678040958,0,5.15972329402275,0,0,4.92890637363524,0,0,0,0
"ERR321222",0,0,0,-5.26771922477837,0,0,-2.39612215165791,0,0,0,-2.9374672410845,-2.96476320228678,-5.26569544344689,1.79708635088505,-4.15020530781276,0,0,0,5.08784250712753,0,0,0,0,5.37702474789735,5.13512049877131,0,0,0,1.05428776401026,0,0,0,-2.96458514886183,0,0,0,0,0,0,0,0,0,0,5.13481210119283,0
"ERR321228",0,0,0,0,0,0,-2.0944597481693,0,0,0,0,-1.19375735490875,0,0,-3.62771069823713,0,0,0,0,0,0,0,0,0,-0.576927792548188,0,-2.40054768897435,-6.39829561767611,0,0,0,0,0,0,0,0,0,0,-2.23202715042229,4.15787056329562,0,0,0.70906219663228,0,3.86598442840458
"ERR321232",0,0,0,0,-3.30021694094179,0,0,-5.71614341771071,0,-2.837644165422,-2.46533281007832,0,0,0,0,0,0,0,4.27008168462221,0,0,0,-4.91494386831228,0,0,0,0,0,0,-2.27309057595888,0,-5.15434342839739,0,0,0,0,0,3.93710836776678,0,0,-1.15345979091344,0,0,0,0
"ERR321233",0,0,0,0,-3.30931549289888,0,0,-5.73190257197571,0,-2.99559415881643,-2.54637438530865,0,0,0,0,0,0,0,4.41044981044655,0,0,0,-5.18852128192661,0,0,0,0,0,0,-2.3801883475032,0,-5.43476798040494,0,0,0,0,0,4.12260714945895,0,0,-0.996402876748782,0,0,0,0
"ERR321235",4.28591181221346,-2.93239510899343,5.0790573166431,0,0,0,0,0,0,-2.50141124959408,0,0,0,-2.39591097115106,0,0,-2.50886865456563,0,0,0,0,0,-4.3325713749213,4.14983953244533,0,0,0,-3.48483841856839,0,-2.89252410922463,0,-3.11579662588213,0,4.34548797922464,0,0,0,5.00999871929498,0,0,5.39671806207953,0,6.03591719712843,0,0
"ERR321238",4.56799023346988,-1.69709952146327,2.93946259667522,0,0,-4.23593539870905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.76946106585149,0,-2.72116046873886,0,-4.93220936718479,-2.45433815452508,0,0,0,0,4.71318818740365,0,0,1.81393577456581,0,6.52889808320751,4.25103838259228,0
"ERR321246",0,0,0,0,0,0,0,0,0,0,0,-2.95138861586097,0,0,0,0,-3.40783745455795,0,0,0,0,0,0,0,-5.11195503555159,0,0,0,0,0,0,0,-3.6415165209375,5.90254761523056,0,0,0,0,0,0,0,0,0,6.30729163086521,0
"ERR321247",0,0,0,0,0,0,0,0,0,-2.57551160571647,-2.92325657165567,-2.78864489841436,0,0,0,0,-3.13561829617856,0,-5.06322890566722,-2.5565760155706,0,0,-4.46091695658422,0,-4.83007464832142,0,-2.96605352939391,0,0,-2.63321304537836,0,-2.64351331142932,0,5.43105020212383,0,0,0,4.56085878174849,0,-5.13735541087924,-4.57869936588023,4.42811955238028,0,0,0
"ERR321248",0,0,0,0,0,0,0,0,0,0,0,-5.38330513819305,-3.10841935055005,0,0,0,0,-1.67501137725648,0,-5.47003485203232,0,0,0,0,-1.02689760082274,-2.92489516529467,0,0,5.38394024638294,0,0,0,-1.821333585579,0,0,-5.06606703310293,2.90120480866414,0,2.83780566182053,0,0,-3.52681832030747,0,3.15464230775442,0
"ERR321249",0,0,0,0,0,0,0,0,0,0,0,-5.96331108908835,-3.30807637771554,0,0,0,0,0,0,-5.3022240466731,0,0,0,0,-0.540875650412544,-3.0828605289626,0,0,5.72975636152173,0,0,0,-4.12371454682245,0,0,-5.33967106881189,0,0,0,0,0,-3.13528113459248,0,0.0228212045996566,0
"ERR321250",0,0,0,0,0,0,0,0,0,0,0,-5.97533800568684,-3.28660510574431,0,0,0,0,-1.93819146924115,0,-5.27778784161288,0,0,0,0,-0.435089813696062,-3.06161646635701,0,0,5.69256702756442,0,0,0,-4.20110252560096,0,0,-5.30287527301983,3.35704609952224,0,0,0,0,-3.22533060975171,0,-0.166739479957161,0
"ERR321251",0,0,0,0,0,0,0,0,0,0,0,-6.0439478867212,-3.32203887257687,0,0,0,0,-1.93887718938635,0,-3.50373599958798,0,0,0,0,-0.47688488864181,-3.10644035642669,0,0,5.75394011202197,0,0,0,-4.40134639579838,0,0,-5.3805125280134,3.3582338016535,0,0,0,0,-6.06864876759451,0,0.167116852004293,0
"ERR321253",0,-2.42653713516456,4.20288560455764,0,0,0,0,0,0,-2.65926544098607,-3.05809083352999,-3.3528263660489,0,0,0,0,0,0,5.29676869783459,0,0,0,-4.60598285459993,0,-5.80726561495322,0,-5.00626823765855,0,0,-2.61540398292611,0,-2.61785501928988,0,0,0,0,0,4.53001258074603,0,-0.316388345006749,4.53425790025928,0,0,0,0
"ERR321254",0,0,0,0,0,0,0,0,0,-5.32030274270576,-3.16166764509282,-3.16908860974342,-2.50931798131757,0,0,0,0,0,5.47616899794742,0,0,0,-0.0516570936791424,0,-5.48902248576342,0,-2.36052941684199,0,-4.34626623598821,-2.47411927693483,0,0,0,0,0,0,0,4.28530029163669,-3.02180679087428,-4.08855688273126,0,0,0,0,5.23392289245091
