"","165179__562_823","310297__46503_166486","818__820","47678__239935","751585__39485_204516","39492__46506_457412","674529__33039_246787","562__823","28111__46228","46503__166486","39777__548_29466","1304__1318","469591__33038_88431","40519__1358_39486","46506__457412","287__29361_328813","100886__301301","33039__246787","457387__1680_1735","1118061__218538_310298","39485__204516","729__74426","187327__329854_658081","33038__88431","1689__40520","387090__2173_411489","29361__328813","218538__310298","33035__469588","154046__328812","39496__817_410072","1680__1735","1203555__29348_47770","28025__40545_360807","1685__454154","39483__658089","29348__47770","137591__626940","1343__658086","158847__469593","328814__821_853","1512__163665","548__29466","214856__469592","550__338188","1531__208479","1358__39486","1535__216816_357276","329854__658081","584__573_1308","817__410072","1623__102862","2173__411489","821__853","116085__28116_39488","40545__360807","216816__357276","908612__28117_40518","457394__39491_487174","573__1308","28116__39488","39491__487174","28117__40518"
"SRR5275459",-2.69559170273652,-2.64541500010154,0,-6.27987311683766,5.83332692565832,-2.42757514286056,-2.54955661703692,4.66890178560076,0,-4.5819931872807,0,0,0,0,4.20468348662577,0,0,4.41596159748137,0,0,0,0,0,0,0,0,0,0,0,-0.0391978493957584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.93169508745175,0,0,0,0,-5.07784484376652
"SRR5275460",-3.37640387864616,0,-3.79759804439041,0,0,-5.05774776308074,0,5.84810306468778,0,0,0,0,0,0,0.977249114862573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.91389641921663,0,0,0,0,0,0,0,-3.40191142877388,0,0,0,0,0,0,0,0,-2.76155084968412,0,0,-5.04701664607622,0,0,0,0,0,-4.7831463793379,-3.37518675918361,0,0,0,0,-5.84599495193976
"SRR5275461",-3.15883607375803,-2.79273995419886,-0.778189551557199,0,0,1.74778216841994,0,5.4712645725303,0,4.837167493,0,0,0,0,5.78792737079169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.75886226644179,0,0,0,0,0,0,-2.49405304376361,0,0,0,0,0,0,0,0,0,0,0,0,4.31982658857038,0,-4.7784896165618,0,-2.27293069674629,0,0,0,0,-3.9368314488475
"SRR5275462",-5.88121386481594,0,-4.795772210684,0,-2.62805141916227,0,0,2.38608943314144,0,0,0,0,0,0,0,0,0,0,-2.53863948416512,0,-4.55191858289255,0,0,0,0,-2.48381918394674,0,0,0,0,0,4.39705256867443,0,0,0,0,0,0,0,0,-4.88559613776973,0,0,0,0,0,0,0,0,0,0,0,4.30210102341003,0.917987007375881,0,0,0,0,-2.41514902899602,0,0,4.18316082607175,0
"SRR5275463",-3.08237876156257,0,0,-4.4760615780323,0,-2.53896470487961,-2.74597333023533,5.3388366231976,0,0,0,0.55455032867795,0,0,-4.39761586747561,0,5.6260356271921,4.7561653241967,0,0,0,-4.48788061832977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.74589199417267,0,0,4.75602444600369,0
"SRR5275464",0,0,-5.56005539190203,4.39158263017604,0,0,-0.125054983265114,0,0,0,0,0,0,0,0,0,0,-0.0117082148487585,0,0,0,0,-2.71711378003768,0,0,0,0,0,0,0,0,0,0,-2.57828426428411,0,0,0,0,0,0,-2.79128753911166,0,0,0,0,0,0,0,4.70617911697078,0,0,0,0,4.83465183627529,0,-4.46571934209542,0,-3.08603560469927,0,0,0,0,-5.34517046130568
"SRR5275465",0,-2.44403429140558,-3.87802836608005,0,-2.53508398490378,0,-2.52772066242151,0,4.4483129170707,-4.23319156815507,0,0,0,0,0,0,0,4.37814061465572,0,0,-4.39089426330752,0,0,0,0,0,0,0,0,0,0,0,0,-2.53200375957282,0,0,0,0,0,0,-2.69957718376706,0,0,0,0,0,0,0,0,0,0,0,0,-4.67580484123826,0,-4.38555915653554,0,-3.43755818068749,-3.28235424998375,0,0,5.6852043294115,-5.95402542292477
"SRR5275466",5.94003307321503,0,0,0,0,-2.6804150904776,-2.70411777859396,0,0,0,0,0,-2.59854339441899,0,-4.64261512208154,0,0,4.68366938217502,-2.44525831176153,0,0,0,0,-4.50080918480618,0,0,0,0,0,0,0,-4.23531163360107,0,0,0,0,0,0,0,4.09016678848818,-2.60166507593723,0,0,0,0,0,0,0,0,0,0,0,0,-4.50621609580083,0,0,0,-2.7711627651732,-3.46741149775333,0,0,6.00573288485726,-4.79979470532305
"SRR5275467",0,0,-5.35549994579327,4.48191409938493,1.64633837254525,-3.09787083953164,0,0,0,0,0,0,0,0,5.36566968935485,0,0,0,0,0,5.87924884499355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.42249601718621,0,0,0,0,0,0,0,0,0,0,0,0,0.450249155930872,-2.52119228182268,0,0,0,-2.8591393981923,0,4.36683312776739,4.95217470359097,0
"SRR5275468",0,0,0,0,0,-3.10330776476308,-2.81160769378975,0,0,0,0,4.26230133146574,-3.03144493325342,2.30991320235541,-5.37508672009265,0,4.9357092894847,4.86984737659541,0,0,0,0,0,-5.25061664474216,0,0,0,0,0,0,-2.47781144888325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.5157209524729,0,0,0,-4.29169532104165,0,0,0,0,0,0,0,-3.2123304925726,0,0,5.56391962383851,0
"SRR5275469",5.16855323698033,0,0,0,0,-2.37944339818001,-3.00223007359196,0,0,0,0,0.0832624456492057,0,0,4.12131685938211,0,0,5.20001502347252,-3.50354953528014,0,0,0,0,0,0,0,0,0,0,0,-2.29478997632978,-6.06832580193953,0,0,0,0,0,0,0,0,-3.08713740184903,0,0,0,0,0,0,0,0,0,-3.97469283170296,0,0,-5.34707882994869,0,0,0,0,-2.87207171312399,0,0,4.97457413011214,0
"SRR5275470",0,0,-4.85122395445566,-6.12578066041758,0,-2.25067387768283,0,0,0,0,0,4.05568332387936,-3.13035042257993,0,3.89828150741471,-2.65429623763938,0,0,0,0,0,0,0,5.42192597740314,0,0,4.59737594193032,0,0,0,0,0,0,0,0,4.12998317053238,0,0,0,0,0,0,0,0,-4.0130362690125,0,0,0,0,-2.7957533789719,0,0,0,0,0,0,0,0,0,4.8423868978117,0,0,0
"SRR5275471",-2.48419541210286,0,-4.93307263442943,0,4.95307723073921,0,0,4.30275266969166,5.48568163889538,0,0,0,0,0,0,0,0,0,0,-2.45078739404093,0,0,0,0,0,0,0,-4.24488828502822,0,0,0,0,0,0,0,0,0,0,0,0,-2.66142034202307,0,0,0,0,0,0,0,0,-2.48343258109015,0,0,0,-4.60971525268129,0,0,0,-2.94431728501878,-3.13449700958844,4.30143140762006,0,5.4291080767799,-5.09970713125579
"SRR5275472",-2.61937631753789,0,-5.42156978564181,4.86272044454308,0,0,0,4.5368928661183,0,0,0,4.77303699570078,0,0,0,0,0,0,0,0,0,0,6.33942433423045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.59843640417523,0,0,0,0,0,0,-2.57667658008249,0,0,0,0,0,4.50062387226807,-2.44814077894031,0,-4.4629347513757,-2.96174594721099,0,0,4.24030421320586,0,5.12989445968064
