"","329__820_853","823__39491","1304__1358_1363","40214__40324","28130__116085_371601","1282__818_47678","411489__28111_357276","820__853","674529__487175_552398","328812__363265_384638","1260__33043","1582__296_626940","626932__165179_360807","100886__39486_410072","116085__371601","54291__158836","291644__751585","28111__357276","582__287_88431","729__46506_166486","1283__562_328813","818__47678","1689__1735_216816","550__545_624","1286__571_573","363265__384638","40519__546_33039","1354__40545_310297","296__626940","165179__360807","626933__239935_246787","287__88431","562__328813","28126__46228_328814","322095__817_218538","338188__28117_40518","546__33039","1623__1680_45851","46506__166486","665951__821_204516","239935__246787","40545__310297","817__218538","571__573","501496__39485_39492","1680__45851","1735__216816","821__204516","1318__28026_147207","46228__328814","37734__28116_487174","301301__457412","28117__40518","39485__39492","74426__147802","1358__1363","28116__487174","487175__552398","43765__1681_754333","545__624","1681__754333","1352__1353","39486__410072","28026__147207"
"ERR2239260",-2.88417453634586,0,0,0,0,-1.95429225174226,0,4.99553683484743,0,0,0,0,0,0,0,0,0,0,0,-2.35820727270376,-3.70058512859281,-3.38493347285578,0,0,0,0,0,0,0,0,-2.34610762433497,0,6.40960146045655,0,0,-2.41616175121232,0,0,4.08453481110134,-2.38810711802648,4.06357760537289,0,0,0,0,0,0,4.13632286233875,0,0,-2.40040595549073,0,4.18491491240433,0,0,0,-4.15762507370086,0,0,0,0,0,0,0
"ERR2239270",-4.94600042144077,0,0,0,0,0,0,0.818522887226712,0,0,0,-2.79832125841885,0,0,0,0,0,0,0,0,-3.40503155902822,0,-2.2318154711249,0,0,0,0,0,4.84683459548152,0,-2.16819994318107,0,5.89768766161234,0,-2.28850985397122,-2.11620254917836,0,-3.0955484767788,0,0,3.75543246255757,0,-3.96381534070019,0,0,-5.36164723907333,-3.86561778910659,0,0,0,0,0,-3.6653703342837,0,0,0,0,0,0,0,0,0,0,0
"ERR2239271",-5.93463066345148,-4.31339917341271,0,0,0,0,-2.6268598168287,0.377097981155877,0,0,0,0,-2.83364169653504,0,0,0,0,-4.54985466710838,0,0,-3.44953326967313,0,0,0,0,0,-2.48639204027205,0,0,4.90801138884435,0,0,5.97476688547305,0,0,0,4.30655734128604,-2.43066254023223,0,-2.26814416213968,0,0,0,0,0,-4.21003101573666,0,3.92854092771667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239273",-6.02752639397744,-4.40660875819281,0,0,0,-2.39976465638629,0,1.75556989257849,0,0,0,0,0,0,0,0,0,0,0,0,-2.43399892209654,4.15651431106911,0,0,0,0,0,0,0,0,0,0,4.21580979863909,0,-2.83489245597715,0,0,0,0,-3.23457840264142,0,0,-4.91017776774613,0,0,0,0,5.60245413443992,0,0,-2.50313297523408,0,0,0,0,0,4.33555349120647,0,0,0,0,0,0,0
"ERR2239275",-5.80652083229667,-5.25933888064863,0,0,0,0,0,1.125476156406,0,0,0,-2.8883097848499,0,0,0,0,0,0,0,0,-5.6444230514192,0,0,0,0,0,0,-2.71639742204656,5.00269929535836,0,0,0,1.83764983847158,-2.4081549204215,0,-2.4292761526604,0,0,0,0,0,-4.70493834853376,0,0,0,0,0,0,0,4.17104667466702,0,0,4.20762972202327,0,0,0,0,0,0,0,0,0,0,0
"ERR2239281",-2.7681746615473,0,0,0,0,0,0,-4.79461915802471,-2.473045233265,0,0,0,0,0,0,0,0,0,0,0,-5.32416201744191,0,0,0,0,0,-3.11393786685054,0,0,0,0,0,-0.0105111363952752,0,0,-2.62454054546209,-5.39349859699779,0,0,-2.91265808463397,0,0,0,0,-3.15742750901315,0,0,-5.04487178766229,0,0,0,0,-4.54583757126488,5.46882486682642,4.95892218235851,0,0,4.283439993431,0,0,0,0,0,0
"ERR2239291",-2.41087101161982,0,0,0,0,0,2.44555418668449,-4.1757510826205,0,0,0,0,0,0,0,0,0,4.46060833281117,0,0,-3.68599754884562,0,0,0,-2.94118438114218,0,0,0,0,0,0,0,6.38433503117495,0,0,-4.79145194152588,0,0,0,0,0,0,0,-5.09428078256629,-2.21299062032795,0,0,0,0,0,-2.00101041244368,0,-0.370535867514516,-3.83301219108138,0,0,3.46585170082682,0,0,0,0,0,0,0
"ERR2239293",-2.15002552631936,-3.23174380661875,0,0,0,-3.30694920517641,0,-3.72395344915514,0,0,0,0,0,0,0,0,0,0,0,0,-3.74624550657577,-1.5612138306159,0,0,0,0,0,0,0,0,0,0,6.48868755501585,0,0,0,0,0,0,-2.72520736854655,0,0,0,0,0.266486818557096,0,0,4.7201976234837,0,0,0,0,0,4.00095916093314,0,0,0,0,3.32086644176243,0,0,0,0,0
"ERR2239294",-5.41744002362809,-4.02379645524344,0,0,0,0,0,-0.560644080408444,0,-2.18748794282524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.78884025791765,0,0,0,0,0,0,0,2.88608406840569,-3.41051713907525,0,0,0,0,0,0,0,-5.90718896496278,0,0,0,0,0,0,-4.72389328332203,-2.17043246961691,0,0,0,0,0,3.75929931177368,0,0,0,0,0,0,0
"ERR2239303",-5.68022290044684,-5.15107578796222,0,0,0,-5.78675429154542,-3.22174415293558,0.831561078845896,0,0,0,0,0,0,0,0,0,-5.58022456187238,0,-2.7174501736904,0,-0.313731090829413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70676176786864,-2.90160003661843,0,0,0,0,0,0,0,-5.02571868666683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
